aaa	工艺
bbp	孤陋寡闻
bbr	孙子兵法
bbs	2
bbt	孺子牛
bbv	孕妇
bbw	随随便便
bbx	隐隐约约
bby	子夜
bca	聂荣
bcb	郰
bcc	颞
bcd	2
bce	取用
bcf	盈亏
bcg	2
bci	夃
bcj	联欢晚会
bcl	戤
bcm	2
bcn	取悦
bco	㷅
bcp	2
bcq	陈巴尔虎旗
bcr	2
bcs	取材
bct	盈利
bcu	聚首
bcw	聚集
bcx	取经
bcy	聚变
bda	隳
bdb	阳奉阴违
bdc	䧀
bdd	承袭
bde	堕
bdf	了不起
bdg	联成一体
bdi	随大流
bdj	随时
bdl	2
bdm	聏
bdn	2
bdo	2
bdr	随后
bds	随想
bdt	承德
bdu	随意
bdv	承建
bdw	也不例外
bdy	承认
bea	檃
bed	阴历
bee	承受力
bef	阴云
beg	䎳
beh	䏂
bej	阴暗
bek	2
bel	2
bem	2
ben	2
beo	2
ber	阻挡
bes	阴森
bet	附加条件
beu	阴道
bev	䧌
bfa	隫
bfb	随声附和
bfc	阹
bfd	隔墙有耳
bff	孤零零
bfg	2
bfh	䦹
bfj	降雨量
bfk	㝆
bfl	聴
bfo	2
bfp	2
bfq	％
bfr	2
bfs	2
bfu	2
bfw	承运人
bfx	2
bgb	出现了
bgc	2
bgd	孒
bge	隔膜
bgf	║
bgh	耳目
bgi	耳光
bgj	卫冕
bgk	陆路
bgm	降下帷幕
bgn	隔壁
bgp	陈列室
bgq	隞
bgr	卫兵
bgs	耳机
bgt	除恶务尽
bgu	陕北
bgv	2
bgw	陷于停顿
bgx	隔绝
bgy	队列训练
bha	䖎
bhc	陈旧观念
bhd	除此而外
bhe	2
bhf	2
bhg	蚩
bhh	骘
bhi	2
bhj	2
bhk	阽
bhl	2
bhm	2
bhn	除此以外
bho	2
bhq	䧋
bhr	2
bhs	2
bht	2
bhu	2
bhv	2
bhx	2
bia	2
bib	孙子
bid	函大
bif	防波堤
big	卺
bij	降水量
bil	2
bin	2
bio	2
bip	陆海空三军
bis	2
bix	2
biy	阥
bjb	.
bjc	阳台
bjd	阳春
bje	2
bjf	聪明才智
bjh	䎶
bji	阳江
bjj	2
bjk	)
bjl	2
bjo	2
bjs	2
bjt	2
bju	及时总结经验
bjw	聪明人
bjx	䏉
bjy	也是为了
bka	陨落
bkc	职能
bkd	出口成章
bkg	防患于未然
bkh	隤
bki	2
bkj	陨星
bkl	出口转内销
bkm	孙中山
bkn	2
bkp	职守
bkr	2
bkt	职称
bkv	2
bkw	出口创汇
bkx	2
bky	出口商
blc	2
bld	2
ble	阵脚
blf	盁
blg	隈
blj	2
blk	2
bll	2
blm	2
bln	2
blo	2
blq	2
bls	2
blt	2
blv	2
bly	出国访问
bma	出工
bmb	䢺
bmc	出马
bmd	出面
bme	出力
bmf	聃
bmg	出现
bmh	䖓
bmi	出没
bmj	出题
bmk	出口
bml	出车
bmm	孾
bmn	出书
bmo	出席
bmp	出神
bmq	出错
bmr	出兵
bms	2
bmt	出生
bmu	出差
bmw	出任
bmx	出纳
bmy	聘请
bna	2
bnb	孔隙
bnc	2
bnd	2
bne	2
bnf	阠
bng	了事
bnh	卩
bni	孔洞
bnj	乃是
bnm	2
bnn	巜
bno	孔府
bnp	2
bnt	也行
bnu	也门
bnw	䦼
bny	了望
bob	出席了会议
boc	2
bod	䧪
boe	2
bof	职业教育
bog	䧤
boh	2
boj	2
bok	2
bom	2
bon	2
boo	㷦
boq	隣
bor	出类拔萃
bos	2
bot	2
bou	职业病
bov	䧡
bow	联席会议
box	2
boy	阦
bpa	辽东
bpb	辽阳
bpc	2
bpd	随之而来
bpf	院士
bpg	聢
bph	2
bpi	阿富汗
bpj	䏃
bpk	陪审员
bpl	2
bpm	2
bpn	2
bpo	2
bpp	孤家寡人
bpr	阿塞拜疆
bps	院校
bpt	出神入化
bpu	䏁
bpv	2
bpw	聜
bpy	院方
bqa	隐蔽
bqb	阿尔及利亚
bqd	陒
bqf	承包者
bqg	聊天
bqh	陥
bqj	2
bqk	陶器
bql	2
bqm	2
bqn	了解情况
bqo	䧰
bqp	出色完成
bqq	㚉
bqr	承包制
bqt	陷入
bqu	陶冶
bqw	承包人
bqx	隐约
bqy	出外谋生
bra	2
brb	2
brc	阪
brd	出手不凡
bre	2
brf	附近地区
brg	承担责任
brh	2
bri	函授学校
brj	2
brk	2
brl	2
bro	2
brp	孤寂
brq	孤儿
brr	㝂
brs	聚氨酯
brt	聛
bru	孤单
brv	2
brw	孤僻
brx	2
bsb	2
bsc	2
bsd	2
bse	2
bsf	䏇
bsh	䦺
bsj	刴
bsk	娿
bsl	▂
bsm	2
bsn	2
bsp	2
bsq	2
bsr	2
bss	2
bsv	阿妈
bsw	䧒
bsx	2
bsy	2
bta	降落
btb	卫生防疫
btd	卫生厅
bte	2
btf	阡
btg	降到
bth	联系点
bti	隆重举行
btj	降临
btk	卫生员
btl	陷入困境
btm	隩
btn	卫生局
bto	隆重庆祝
btp	取长补短
btr	隆重推出
bts	隐私权
btt	出版物
btu	卫生间
btw	降价
btx	卫生组织
bty	出版商
bua	聠
bub	联防
bud	联邦
bue	附着力
buf	孤立地
bug	䧧
bui	承兑汇票
buj	联盟
buk	陪
bul	2
bum	陪同
bun	联展
bup	联袂
bur	联手
bus	联机
but	隡
buu	防疫站
buv	隒
buw	联合
bux	联结
buy	承前启后
bvb	2
bvc	2
bvd	2
bvj	限时
bvl	2
bvm	2
bvn	2
bvp	限定
bvq	2
bvr	了如指掌
bvs	2
bvt	2
bvv	2
bvx	2
bvy	2
bwa	除草
bwb	降低了
bwc	聬
bwd	队友
bwe	坠毁
bwf	坠
bwg	险
bwh	险些
bwi	除尘
bwj	联合早报
bwk	聆听
bwl	联合国秘书长
bwm	附则
bwn	附属
bwq	除夕
bwr	联合制
bws	险要
bwt	聚合物
bwu	出人意料地
bwv	聁
bww	队伍
bwx	联合组织
bwy	聆
bxb	2
bxg	墬
bxh	2
bxi	联络小组
bxj	2
bxk	出纳员
bxl	2
bxm	2
bxo	2
bxq	2
bxr	2
bxu	阶级立场
bxv	2
bxw	2
bxx	聨
bxy	2
bya	防范
byb	防卫
byd	阿谀奉承
byf	防城
byg	及至
byi	孓
byj	也就是
byk	䧐
byl	2
bym	2
byn	陔
byo	防腐
byp	防空
byr	孩提
byt	防御
byu	防盗
byv	2
byw	防风
byx	防弹
byy	﨤
caa	巴基斯坦
cab	2
cac	2
cad	艰苦奋斗
caf	2
cah	预期目标
caj	刭
cak	2
cal	2
cam	马鞍山
can	艰巨性
cao	劲爆
caq	2
car	预期指标
cas	艰苦朴素
cau	颈部
caw	鴘
cax	2
cay	巯
cbb	2
cbc	2
cbd	2
cbe	2
cbf	2
cbi	2
cbk	2
cbl	2
cbm	2
cbn	2
cbo	2
cbp	2
cbq	2
cbr	2
cbs	2
cbu	2
cbv	2
cbx	2
cby	邓州
cca	2
ccb	艰难险阻
ccc	桑
ccd	熊熊大火
cce	叠加
ccf	双喜
cch	双眼
cci	参观游览
cck	2
ccl	参观团
ccm	双峰
ccn	参观展览
cco	双料
ccr	双拥
ccs	难能可贵
cct	双重
ccu	㕛
ccx	2
ccy	厸
cda	2
cdc	能不能
cdd	鸡犬不宁
cde	毵
cdf	对不起
cdg	参政
cdi	骄奢淫逸
cdj	参量
cdk	2
cdl	马克思主义
cdm	貵
cdn	双丰收
cdp	参军
cdq	2
cdr	参看
cds	2
cdu	参差
cdv	2
cdw	对不住
cdx	2
cdy	参议
ceb	参加了会见
cec	2
ced	能耗
cee	通用
cef	通过
ceg	通天
ceh	勇
cei	通常
cej	通电
cek	通史
cem	通邮
cen	通用性
ceo	2
ceq	熊猫
cer	勇气
ces	2
cet	通知
ceu	双边关系
cev	2
cew	通风
cex	熊
cey	能为
cfb	对联
cfc	双增双节
cfd	頚
cfe	2
cff	圣地
cfg	对开
cfh	圣战
cfi	通过学习
cfj	通过鉴定
cfk	对口
cfl	2
cfm	对峙
cfn	参考书
cfo	对数
cfq	对外
cfr	对抗
cft	对待
cfu	预示着
cfv	2
cfw	对华
cfx	圣经
cfy	对话
cga	骁
cgb	驰
cgc	骏
cgd	骑
cge	马力
cgf	驻地
cgg	驱逐
cgh	马虎
cgj	马里
cgk	驯
cgl	驷
cgm	马山
cgn	验收
cgo	2
cgp	驻军
cgq	骝
cgr	勇于探索
cgs	马来西亚
cgt	骆
cgu	骈
cgv	骕
cgw	驸
cgx	2
cgy	驻
cha	2
chb	2
chc	台上台下
chd	2
chf	2
chg	2
chh	2
chi	2
chj	2
chk	2
chl	2
chm	2
chn	2
cho	2
chp	2
chs	2
cht	2
chu	2
chv	2
chw	2
chx	2
chy	2
cib	2
cic	2
cid	2
cie	2
cif	台海地区
cig	邓小平理论
cih	2
cii	台湾省
cik	2
cil	2
cim	台湾同胞联谊会
cin	台湾民主自治同盟
cio	2
cip	2
cit	2
ciu	台湾问题
ciw	观赏价值
cix	2
ciy	2
cja	2
cjb	2
cjc	2
cjd	2
cje	2
cjg	2
cjh	2
cji	2
cjj	2
cjk	2
cjl	2
cjm	2
cjn	2
cjo	2
cjq	2
cjr	2
cju	2
cjv	2
cjw	2
cjx	2
cjy	2
cka	2
ckb	台阶
ckc	2
ckd	2
cke	㣍
ckf	欢呼声
ckg	台球
cki	台港
ckj	刣
ckl	2
ckn	怠慢
cko	台灯
ckp	台安
ckq	鸡鸣狗盗
ckr	2
cks	䢄
ckt	对号入座
cku	台前
ckv	2
cky	台州
cla	2
clb	2
clc	2
cld	2
cle	2
clf	2
clg	2
cli	2
clj	2
clk	2
cll	2
cln	2
clo	2
clp	2
clq	2
cls	2
clt	2
clv	2
clw	2
clx	2
cly	2
cma	2
cmb	2
cmc	2
cme	2
cmf	2
cmg	2
cmh	观战
cmi	观赏
cmk	2
cml	2
cmm	2
cmo	能见度
cmp	观礼
cmr	观后
cms	2
cmt	2
cmu	贠
cmv	2
cmw	观众
cmx	2
cna	难民营
cnc	难以预料
cnd	难以达到
cne	2
cnf	柔韧
cnh	巴
cni	巴掌
cnj	2
cnk	柔顺
cnl	难以置信
cnm	预购
cnn	戏剧性
cnp	预赛
cnq	难以解决
cnr	预报
cns	难以想象
cnt	巴黎
cnu	矛头
cnw	预售
cnx	双层经营
cny	
coa	駆
cob	駬
coc	騃
cod	駄
coe	騱
cof	馯
cog	駍
coh	騑
coi	駫
coj	駻
cok	駽
col	騦
com	駎
con	駅
coo	驎
cop	馾
coq	駠
cor	駈
cos	騕
cot	駇
cou	騂
cov	駸
cow	颿
cox	2
coy	馿
cpa	2
cpb	2
cph	2
cpi	2
cpj	2
cpl	2
cpm	2
cpn	2
cpo	2
cpq	2
cps	2
cpv	2
cpw	2
cpx	2
cpy	2
cqb	欢聚
cqc	欢迎参加
cqd	对外友好协会
cqf	骤然增多
cqg	对外政策
cqh	2
cqj	2
cqk	驰名中外
cql	2
cqm	2
cqn	欢快
cqo	欢度
cqq	对外贸易
cqr	对外投资
cqt	欢笑
cqu	欢送
cqv	2
cqw	欢迎仪式
cqx	对外经贸
cqy	允许
cra	2
crc	2
crd	2
crf	巴拉圭
crg	2
crh	2
crj	2
crk	2
crl	2
crm	2
crn	通报情况
cro	2
crq	2
crs	马拉松比赛
cru	2
crv	2
crw	2
crx	2
cry	2
csa	2
csb	2
csc	2
csd	巴林左旗
cse	2
csf	2
csg	2
csh	2
csi	2
csj	2
csk	2
csl	2
csm	2
csn	2
cso	2
csp	2
csq	2
csr	2
csv	2
csw	2
csx	2
cta	鸡毛蒜皮
ctb	预备队
ctc	2
ctd	欸
cte	2
ctf	勇往直前
ctg	预处理
cth	2
ctj	2
ctk	2
ctm	预算内资金
ctp	预算审查
ctq	预算外
cts	2
ctt	双向选择
ctu	对敌斗争
ctw	预备会议
ctx	对牛弹琴
cty	双管齐下
cub	2
cuc	2
cud	对立面
cue	2
cuf	2
cug	勇斗歹徒
cuh	2
cuj	2
cuk	2
cul	2
cum	2
cun	2
cuo	2
cup	2
cuq	2
cur	2
cus	2
cut	2
cuu	2
cuv	2
cva	艰巨
cvd	2
cvf	2
cvg	2
cvh	2
cvi	2
cvj	2
cvk	2
cvl	2
cvm	2
cvn	2
cvo	2
cvp	2
cvq	2
cvr	2
cvs	2
cvt	2
cvv	2
cvw	2
cvx	2
cvy	2
cwb	通信联络
cwc	难舍难分
cwd	驻华大使馆
cwe	难受
cwf	通信地址
cwg	难事
cwi	桑拿浴
cwj	双休日
cwk	骇人听闻
cwl	2
cwn	难民
cwo	对人类
cwq	难解
cwr	难找
cws	2
cwt	皴
cwu	难关
cwv	难寻
cww	驻华使节
cwy	难忘
cxa	2
cxb	2
cxd	2
cxe	2
cxf	2
cxg	2
cxh	2
cxi	2
cxj	2
cxk	2
cxl	2
cxm	2
cxn	2
cxp	2
cxq	2
cxr	2
cxs	2
cxt	2
cxu	2
cxv	2
cxx	2
cxy	2
cya	通州区
cyb	通讯卫星
cyd	双方愿意
cye	2
cyh	2
cyk	参议员
cyo	2
cyp	难言之隐
cyq	2
cys	对话机制
cyt	通讯系统
cyu	参谋部
cyy	双方商定
daa	碊
dab	2
dad	左右
dae	面黄肌瘦
daf	不甘示弱
dah	在某些方面
dai	左派
daj	厝
dak	礶
dal	在世界范围内
dam	磺
dan	左翼
dap	成功之路
daq	百花争艳
dar	奁
das	左权
dat	有期徒刑
daw	在工作中
day	硭
dba	2
dbb	不了了之
dbc	原子能
dbd	有职有权
dbf	厄运
dbg	有限责任公司
dbh	顾虑
dbk	2
dbl	2
dbm	布隆迪
dbr	不出所料
dbs	有隙可乘
dbt	大队长
dbw	在职人员
dby	砐
dcd	雄厚
dce	髯
dcf	不能超过
dcg	面对现实
dch	䀾
dci	在通常情况下
dcj	2
dcl	不予置评
dcn	友情
dco	礟
dcp	不能容忍
dcq	镹
dcr	镻
dct	不能自拔
dcu	厷
dcv	友好
dcw	友人
dcx	2
dcy	不允许
dda	大区
ddb	大队
ddc	还不能
ddd	㕆
dde	大胆
ddf	大都
ddg	砳
ddh	大战
ddi	大小
ddj	大师
ddk	在历史上
ddl	大国
ddm	大幅
ddn	碱性
ddo	大业
ddp	大赛
ddq	大钱
ddr	大批
dds	大桥
ddt	大选
ddu	厦门
ddv	大好
ddw	大众
ddx	大红
ddy	夶
dea	布加勒斯特
deb	有限
dec	不受欢迎
ded	不胫而走
dee	硼
def	大力支持
deg	有助于
deh	有点
dei	历法
dej	历时
del	不服输
den	历届
deo	有底
dep	大胆实践
deq	有名
der	有的
des	有权
det	有利
deu	有着
dew	历任
dex	有线
dey	有望
dfa	三十七
dfb	夺取
dfc	砝
dfd	耕地面积
dfe	唇
dff	圶
dfg	三十五
dfh	不起眼
dfi	奔波
dfj	三元里
dfk	奔跑
dfl	三十四
dfn	砖
dfo	硳
dfp	有过之而无不及
dfr	压迫
dfs	不需要
dft	夺得
dfu	大声疾呼
dfv	不过如此
dfw	奢侈
dfx	夸张
dfy	大城市
dga	硎
dgb	达到了
dgc	三通
dgd	三百
dge	感受
dgf	三十
dgg	感到
dgh	达到目的
dgi	感觉
dgj	感冒
dgk	咸
dgl	三国
dgm	三峡
dgn	感慨
dgo	硬度
dgp	厂家
dgq	励
dgr	大型的
dgs	石棉
dgt	丆
dgu	硖
dgv	感召
dgw	石化
dgx	碡
dgy	感谢
dha	在世
dhb	℡
dhc	不能
dhd	砉
dhe	不用
dhf	不过
dhg	砋
dhh	不止
dhi	不少
dhj	还是
dhk	否
dhl	不图
dhm	在内
dhn	丰收
dho	不应
dhp	丰富
dhq	不够
dhr	不失
dhs	不可
dht	不得
dhu	不准
dhv	恝
dhw	不会
dhx	不经
dhy	不论
dia	耢
dib	石河子
dic	耗能
did	还没有
die	感染力
dif	耘
dig	石油天然气总公司
dih	龙潭虎穴
dii	耖
dij	耗电
dik	2
dil	石油输出国组织
dim	厰
din	有法必依
dio	耱
dip	不法之徒
diq	2
dir	大海捞针
dis	有法可依
dit	耗
diu	夵
diw	石油化工
dix	大学毕业
diy	砅
dja	春暖花开
djb	百出
djc	2
djd	不紧不慢
dje	奛
djf	厘
djg	百万
djh	矵
dji	在日常生活中
djj	百里
djk	2
djn	鹌
djo	厚度
djp	厚实
djq	百色
djr	面临的
djt	大量生产
dju	成果奖
djw	百货
djx	䃂
djy	百户
dkb	不足取
dkd	历史丰碑
dkf	夻
dkg	大中型
dkh	三足鼎立
dki	历史潮流
dkj	历史时期
dkk	历史唯心主义
dkl	成员国
dkm	石嘴山
dkn	历史性的
dko	2
dkp	百叶窗
dkq	2
dkr	右手
dks	历史档案
dkt	历史长河
dku	历史背景
dkv	2
dkw	历史使命
dkx	有口皆碑
dky	历史文化名城
dlb	大男子主义
dlc	不畏艰险
dld	春回大地
dlf	克罗地亚
dlh	奋战
dlj	2
dlk	㕅
dll	感恩图报
dlo	2
dlp	䃛
dlq	2
dlr	2
dls	不置可否
dlt	碅
dlv	2
dlw	㎏
dlx	不畏强暴
dly	2
dma	面世
dmb	面孔
dmc	而又
dmd	耐碱
dme	面貌
dmf	不同地区
dmg	不同于
dmh	原则上
dmi	大同小异
dmj	㞭
dmk	2
dml	面罩
dmm	不同见解
dmn	而已
dmo	不同类型
dmp	不同之处
dmq	面包
dmr	而后
dms	碋
dmt	面积
dmu	面前
dmw	布什
dmx	不见经传
dmy	面议
dna	成功
dnb	成了
dnc	不避艰险
dnd	成套
dne	感情用事
dnf	成才
dng	成型
dnh	碬
dni	成活
dnj	成果
dnk	成品
dnl	奋发图强
dnm	成册
dnn	不愉快
dno	2
dnp	成家
dnq	成名
dnr	成年
dns	有必要
dnt	盛行
dnu	成立
dnv	成群
dnw	成分
dnx	成
dny	成为
doa	矿工
dob	不断出现
dod	不断丰富
doe	磷肥
dof	不断增加
dog	不断开创
doh	2
doi	不断深化
dol	励精图治
don	不断改进
doo	矿床
doq	灰色
dor	不断扩大
dos	䃺
dot	矿物
dou	矿产
dow	百废俱兴
doy	不断变化
dpa	不定期
dpb	确定了
dpc	2
dpd	研究成果
dpe	有礼貌
dpf	故宫博物院
dpg	碇
dph	太空战
dpi	牵涉
dpj	确实是
dpk	研究员
dpl	不容置疑
dpm	2
dpn	面容憔悴
dpo	石家庄市
dpp	大灾之年
dpq	丰富多彩
dpr	丰富的经验
dps	研究机构
dpt	研究生
dpu	研究部署
dpv	2
dpw	研究会
dpx	牵引
dpy	破案率
dqa	磔
dqb	克隆
dqc	2
dqd	㕋
dqe	克服
dqf	有名无实
dqg	不负责任
dqh	大饱眼福
dqi	三角洲
dql	顾名思义
dqm	克山
dqn	不久以前
dqo	大多数人
dqp	确实
dqq	不锈钢
dqr	砍掉
dqs	2
dqt	不够重视
dqu	确立
dqw	确保
dqx	2
dqy	鸪
dra	原著
drb	原子
drc	㼋
drd	原有
drf	原地
drg	原来
drh	磃
dri	原
drj	大批量
drl	大兵团
drm	愿同
drn	有所改善
dro	原煤
drp	有所突破
drq	秦皇岛
drr	大势所趋
drs	在技术上
drt	原先
dru	原装
drv	磤
drw	大气候
dry	不失为
dsa	奇葩
dsb	不可限量
dsc	不可能
dsd	不可不
dse	不可胜数
dsf	不可动摇
dsg	克林顿
dsh	矴
dsi	在校学生
dsj	不要紧
dsk	奇
dsn	不可避免
dso	不可磨灭
dsq	不可多得
dsr	奇缺
dss	成本核算
dst	厅长
dsu	䂞
dsw	还本付息
dsx	不可终日
dsy	不要忘记
dta	面向世界
dtb	帮
dtc	2
dtd	在很大程度上
dte	有生力量
dtf	焘
dtg	故事
