GGL	一
VQI	姚
VRI	姝
VTM	姠
VYW	姣
VRG	姤
VFT	姥
VGX	姨
VGC	姪
VAH	姬
VGJ	姮
VIG	姯
VQJ	姰
VWG	姵
VDE	姷
VGD	姸
VLD	姻
VQQ	姼
VQD	姽
VAD	娀
DGV	威
VAW	娂
VFF	娃
VHQ	娊
VIE	娋
VDN	娍
RRV	娎
VEB	娐
VTX	娒
VDQ	娔
VLE	娚
VNG	娜
VEV	娞
VKE	娟
VDF	娠
VFN	娡
VUX	娣
VTR	娥
VUK	娧
VQK	娩
VFH	娬
VCT	娭
VYG	娮
VWN	娰
VTJ	娳
VBC	娵
BCV	娶
VJJ	娼
VVI	娽
VBS	婀
LVF	婁
VRM	婂
VPF	婃
VQO	婅
VES	婇
VPQ	婉
VGE	婊
VHA	婋
VDS	婍
VTV	婑
VOO	婒
VHD	婔
VGV	婕
VEQ	婗
VUD	婘
VQV	婙
VQA	婚
VFU	婞
VPH	婠
VSW	婡
VRT	婢
VHJ	婥
VVP	婦
SSV	婪
VJX	婫
VET	婬
VGF	婭
VND	婮
VGL	婳
VYK	婷
VSV	婹
VFM	婻
VNH	婿
VJM	媀
VNK	媁
VDM	媆
VPL	媈
VUE	媊
VDW	媋
VAL	媌
VQM	媍
VAF	媒
VHM	媜
TOV	媝
VDA	媠
VIV	媣
VLN	媤
VMN	媧
VHV	媫
VWK	媬
VQB	媰
VER	媱
VTL	媲
VTH	媳
VAB	媶
VLW	媼
VCO	媽
VAM	媾
VRQ	媿
VPG	嫁
VEH	嫂
VDR	嫄
VPW	嫆
VPJ	嫇
VUT	嫉
VXU	嫋
VUV	嫌
VEE	嫍
DHS	嫑
VAT	嫕
VSF	嫖
VLX	嫘
VJL	嫚
VUJ	嫜
VOV	嫝
VAA	嫟
VYU	嫡
VGH	嫣
VAJ	嫫
VOA	嫬
VRL	嫵
VBD	嫷
VUS	嫻
VOQ	嫾
VFP	嬄
VFK	嬉
VKK	嬋
VTD	嬌
VTO	嬏
VRY	嬓
VYL	嬗
VFW	嬙
VPN	嬣
VOS	嬤
VVH	嬧
VFD	嬬
VGW	嬭
MMV	嬰
LEV	嬲
VXR	嬵
VPT	嬸
VEM	嬹
VLH	嬽
VFS	孀
VWW	孅
VMM	孆
VNI	孎
VAU	孏
BBB	子
BGD	孒
BNN	孔
BBF	孕
BBG	孖
PBF	字
DHB	存
EBF	孚
BTY	孜
BNU	孞
BLF	孟
BCK	孡
BQN	孢
TBF	季
BRC	孤
XEB	孧
BYN	孩
BTX	孫
BMY	孭
ERR	學
BFD	孺
BVH	孻
BTW	孼
BMM	孾
PVB	宄
PTA	宅
PXB	宆
PGF	宇
PFU	守
PVF	安
PDY	宊
PSU	宋
PFQ	完
PYW	宍
PTD	宎
PDC	宏
PFJ	宑
PTF	宒
PDF	宕
PXC	宖
PFI	宗
PHN	官
PMF	宙
PGH	定
PQB	宛
PEG	宜
PDW	実
PGJ	宣
PGC	室
PAH	宦
PQI	宨
PDN	宬
PVT	宭
PKT	宮
PFT	宯
PUF	宰
PKS	宲
PJV	宴
PIE	宵
PWW	容
PKG	宺
PES	寀
PGV	寁
PHG	寂
PDS	寄
PGM	寅
PGE	寈
PHM	寊
PGK	富
PQM	寏
PNH	寐
PJM	寓
PJG	寔
PDL	寕
PIV	寖
PFH	寘
PRC	寙
PAJ	寞
PWF	察
PLV	寠
PDE	寡
PNW	寥
PXF	實
PNL	寧
PTO	審
PET	寪
PEQ	寫
PDU	寮
PLG	寰
PXT	寲
PGQ	寳
PGR	寶
PMD	寷
FFU	寺
EFU	寽
YFY	対
USG	尊
VAK	尋
OGU	對
IHT	小
ITE	少
WIU	尒
TIU	尓
BIU	尕
IDU	尖
IMK	尚
IDI	尜
DNV	尢
DNY	尤
DNQ	尥
DNE	尨
WQG	尩
DNW	尬
DNT	尰
DNM	尳
DNK	尵
VTE	尹
NVV	尻
NXV	尼
NTF	尾
NII	尿
NXX	屁
NMI	屃
NPW	屄
NDD	居
NFB	屆
NBM	屈
NGC	屋
NKM	屌
NGQ	屍
NOI	屎
NUA	屏
NIE	屑
NDF	屒
RGN	屔
NAE	展
NBS	屙
NTA	屜
NAN	屟
NFT	屠
NLV	屢
NTH	屣
NTT	履
NTL	屨
NPD	屪
NIL	屬
NMM	屭
BHK	屮
MMM	山
TMJ	屲
TYM	屳
MER	屴
MDR	屵
MVR	屶
MBT	屷
MAG	屸
MTN	屹
MNN	屺
MVY	屻
MGQ	屼
MFH	屽
MMH	屾
MMJ	岀
MEG	岄
MQB	岇
MAH	岈
MQR	岉
CMJ	岊
MBY	岌
MGA	岍
MWV	岎
MFQ	岏
MFC	岐
MRH	岓
MWJ	岕
TDM	岙
MCB	岜
MTH	岝
MMD	岟
MAN	岠
MSK	岢
MQK	岣
MHC	岥
MUF	岦
MVK	岧
MXJ	岪
MMG	岫
MLH	岬
MPX	岮
MXE	岰
MDG	岵
MRG	岶
MNA	岷
MDF	岸
MQA	岻
MGU	岼
MMF	峀
IPM	峃
MCA	峅
MQJ	峋
MGC	峌
MVG	峍
MVE	峎
MGX	峓
MPV	峖
MFF	峙
MWH	峜
MAT	峣
MYW	峧
MTR	峨
MIE	峭
MVT	峮
MTD	峰
MTJ	峲
MHQ	峴
MCW	峻
MDW	峽
IRM	峾
MYV	崀
MQE	崅
MPW	崆
MPF	崇
MIJ	崉
MSS	崊
MND	崌
MSW	崍
MDS	崎
MJX	崑
MMU	崗
MWG	崙
MFW	崚
MQF	崟
MGJ	崠
MBI	崡
MEV	崢
MRD	崤
MRT	崥
MDJ	崦
MGV	崨
MEE	崩
MLD	崮
MQG	崯
MVL	崰
MJG	崵
MUS	崷
MYT	崺
MLN	崽
MSV	崾
MSY	嵀
MUT	嵃
MTU	嵊
MNH	嵋
MAF	嵌
MJM	嵎
MRB	嵏
MWT	嵐
MLG	嵔
MSJ	嵖
MQQ	嵚
MEX	嵠
MWC	嵡
MOV	嵣
MQY	嵧
MYK	嵩
MUX	嵫
MRQ	嵬
MUG	嵯
MIW	嵴
MXU	嵶
MTW	嵷
MXK	嵹
MNW	嵺
MAQ	嵽
MCC	嵾
MSD	嵿
MLV	嶁
MUJ	嶂
MLR	嶄
MGM	嶆
MKW	嶉
MRW	嶊
MNR	嶍
MNF	嶎
MTO	嶓
MSA	嶘
MOQ	嶙
MDU	嶚
MLF	嶧
MMA	嶩
MOG	嶪
MKB	嶯
TMO	嶴
MTM	嶶
MXT	嶷
MOO	嶸
MFN	嶹
MWY	嶺
MQT	嶽
MDA	巁
MUE	巃
MHA	巇
MWN	巋
MID	巌
MTV	巍
MTF	巑
MXH	巓
MUW	巕
MKK	巖
KTH	川
VPV	巡
VJS	巢
IJS	巣
AAA	工
DAF	左
AND	巨
AWW	巫
AEF	巭
UGA	差
NNG	己
RGC	巵
CKX	巼
MHK	巾
MHS	帄
MHW	帆
QAM	帋
RDM	希
MHP	帎
VCM	帑
MHR	帕
MHH	帖
VPM	帚
YUP	帝
YOM	帟
EMH	帠
UDM	帣
VKM	帤
MHI	帩
MHD	帳
AQP	帶
MHJ	帽
MHG	幅
MHE	幍
MHL	幗
MHO	幞
MHT	幡
MHU	幢
MHF	幬
GUF	平
GDF	幵
XNN	幻
XET	幼
MXX	幽
XXD	幾
OXV	庀
OSK	庁
OWI	庂
OCI	広
OTC	庅
OXX	庇
OGB	庉
OSI	床
OFC	庋
OAH	庌
ORK	庍
OWJ	庎
OQA	底
OQN	庖
OLK	庘
OVW	庚
OHX	庛
OYE	庡
OGC	庢
OQI	庣
OWS	庥
OAC	度
OWW	座
ORF	庪
ODN	庬
OUA	庰
OFW	庱
OSW	庲
ORT	庳
OVI	康
OVE	庸
OWC	庺
OXD	庼
OJM	庽
OEW	庾
OAL	庿
OPO	廀
OMJ	廁
OSH	廂
OVC	廄
ORQ	廆
ODH	廈
OUV	廉
OYV	廊
OEH	廋
OAK	廑
OGQ	廒
OYK	廓
OLV	廔
OBW	廕
ONW	廖
OAQ	廗
OON	廘
OFK	廚
OJF	廛
ONF	廜
OAD	廝
OQQ	廞
OFJ	廟
OIM	廠
ORL	廡
OWX	廢
OAM	廣
OQE	廨
OYL	廩
OEN	廫
OMM	廮
OQO	廯
OBF	廰
OVK	廱
PNY	廴
THP	延
TFP	廷
VGP	建
SPD	廼
AGT	廾
AGH	廿
CAJ	弁
GAJ	弄
WVA	弅
FCA	弆
YOA	弈
UMI	弊
AYI	弋
AFY	弍
AAY	式
XNG	弓
XHK	弔
XHH	引
XGF	弖
XJK	弗
XCY	弘
XBN	弛
XCN	弝
XQW	弞
UXH	弟
XWF	弣
XRC	弧
VCX	弩
XBG	弭
XUX	弱
XDE	張
XCJ	強
XDJ	弼
XIL	弾
XSK	彁
OGX	彂
XJA	彃
XUE	彅
XKK	彈
XAM	彉
XGW	彌
XGD	彑
XGT	彘
XGP	彙
VOW	彛
XGO	彝
VOX	彞
VFA	彟
ETT	彡
GAE	形
YEE	彣
MYE	彤
SSE	彬
JYK	影
TQY	彴
TBN	彵
TYT	彷
TWC	役
TGG	彺
THC	彼
TXJ	彿
TYG	往
TGH	征
TSG	徆
TQJ	徇
TVE	很
TVG	律
TWG	徐
TUH	従
TAP	徔
TPF	徖
TJG	得
THH	徙
TIM	徜
TWW	從
TSW	徠
TAJ	徣
TNH	徦
TRG	徨
TRF	循
TYU	徬
TMG	微
TNI	徲
TUM	徶
TFL	德
TYC	徹
TRY	徼
TJB	忁
NTE	必
NET	忇
FNU	忈
NVT	忉
NSH	忊
NNN	忋
NNU	忌
VYN	忍
HGN	忐
ANY	忒
NTN	忔
NDY	忕
NFY	忖
NYN	忙
NBN	忚
ONI	応
GDN	忝
YNU	忞
NYY	忟
KHN	忠
NKH	忡
