aaa	葡萄牙
esn	3
esr	彩扩
ess	腰酸
est	3
esu	膝盖
esw	采伐
esx	彩绘
esy	股票市场
eta	服务工作
etb	胣
etd	膖
ete	貈
etf	胜者
etg	胜于
eth	服务上门
eti	服务小姐
etj	服务电话
etk	服务器
etl	䝦
etn	服务性行业
eto	䐐
ett	服务行业
etu	服务站
etw	胜任
ety	服务市场
eua	脱落
euc	3
eud	媵
eug	膳
euh	3
euj	受益最大
euk	䏽
eum	3
eup	爱美之心
euq	脱销
eur	3
eus	3
eut	䐮
euw	膳食
euy	脱盲
eva	3
evb	3
evd	3
evf	妥协
evg	办好事
evh	3
evj	3
evm	3
evo	3
evp	3
evq	3
evs	3
evv	3
evx	3
evy	䏰
ewb	3
ewc	䐥
ewd	В
ewe	办妥
ewf	服从需要
ewg	办理
ewh	办卡
ewi	办法
ewj	3
ewk	3
ewl	3
ewn	爱人民
ewp	貌合神离
ewr	股价指数
ews	办公楼
ewt	股息
ewu	斞
ewv	䳎
eww	股份
ewx	в
ewy	助人为乐
exa	3
exc	3
exd	鷄
exg	腞
exj	胇
exm	3
exo	3
exq	3
exr	3
ext	边缘科学
exv	3
exx	䏶
exy	助纣为虐
eyb	膀子
eyc	3
eye	脑力
eyf	胶南
eyh	3
eyk	㬿
eyl	采访团
eym	3
eyn	舆论导向
eyr	用户手册
eys	3
eyt	脑筋
eyu	脉冲
eyw	肮
eyx	胘
eyy	舆论谴责
faa	示范基地
fab	3
fad	规范破产
fae	无功受禄
faf	⒘
fag	超薄型
faj	塻
fak	塸
fam	歕
fan	进攻性
fao	3
fap	靀
faq	墆
far	坑蒙拐骗
fas	塔楼
fat	无期徒刑
fau	霸道
fav	3
faw	示范作用
fay	霸主
fba	地基
fbc	3
fbd	无孔不入
fbe	地力
fbf	地域
fbg	地理
fbh	地上
fbi	䨡
fbj	地电
fbk	进出口公司
fbn	进取心
fbq	地狱
fbr	地势
fbs	垜
fbt	地毯
fbu	地道
fbv	3
fbw	地价
fby	地市
fca	去世
fcb	支出
fcc	走马观花
fcd	云龙
fce	运用
fcf	运载
fcg	动静
fch	却步
fci	云海
fcj	朅
fck	云贵
fcl	运转
fcm	3
fcn	动情
fcp	支农
fcq	㰦
fcr	去年
fcs	动机
fct	动物
fcu	云
fcv	刼
fcw	动作
fcx	动弹
fcy	动议
fda	朝三暮四
fdb	地面卫星接收站
fdc	垮台
fdd	震感
fde	需用
fdf	垮
fdg	坏死
fdh	赶不上
fdi	老太婆
fdj	却不是
fdm	颥
fdn	震慑
fdp	真不容易
fdr	未成年人
fds	老大哥
fdt	喜不自禁
fdu	城关
fdv	老大娘
fdw	坏人
fdx	震级
fdy	城郊
feb	䨗
fee	协办
fef	埓
feg	坥
fer	㙾
fes	埰
fet	协和
feu	南腔北调
fev	3
few	协作
fey	协商
ffa	二十七
ffb	运动队
ffc	鼓起勇气
ffd	塔吉克斯坦
ffe	墙脚
fff	土
ffg	二十一
ffh	埴
ffi	博士学位
ffj	刲
ffk	郌
ffl	违者罚款
ffn	雩
ffo	霊
ffp	填写
ffq	墙角
ffr	博士后
fft	土地管理
ffu	封闭
ffv	土建
ffw	堵住
ffx	㘽
ffy	土方
fga	寸草
fgc	干劲
fgd	二百
fge	十月
fgf	⑾
fgg	十五
fgh	雨
fgi	雨水
fgj	干旱
fgk	雨中
fgl	地形图
fgm	地球同步轨道
fgn	未来发展的
fgo	干粮
fgp	地下窝点
fgr	士兵
fgs	干校
fgt	博得
fgu	干净
fgv	干群
fgw	十佳
fgx	十强
fgy	坏事变好事
fha	起草
fhb	超出
fhc	直通
fhd	盐碱
fhe	雪上加霜
fhf	赶
fhg	趔
fhh	起步
fhi	起源
fhj	越是
fhk	走路
fhl	起因
fhm	赸
fhn	赳
fho	起火
fhp	起家
fhq	武钢
fhr	趋势
fhs	越权
fht	走私
fhu	武装
fhv	超群
fhw	趁
fhx	走红
fhy	真诚
fia	霮
fid	示威
fie	老少边穷
fif	违法者
fig	无济于事
fii	违法活动
fij	越洋电话
fik	老河口
fim	埫
fin	违法必究
fio	3
fip	未定
fiq	违法犯罪分子
fir	无法接受
fis	教学相长
fit	未知
fiu	示意
fiv	卖淫嫖娼
fiw	远洋货轮
fix	示弱
fiy	南海诸岛
fja	埋藏
fjb	进出
fjd	专题研究
fjf	埋
fjg	进来
fjh	坤
fji	埋没
fjj	进贤
fjk	朝中
fjl	塭
fjm	朝内
fjn	进发
fjp	越野赛
fjq	埋怨
fjr	坦白
fjt	进程
fju	进门
fjw	进修
fjx	蛓
fjy	坦率
fkb	郆
fkc	鼓足勇气
fkd	露面
fke	露脸
fkf	鼓起
fkg	喜事
fkh	墤
fki	嘉兴
fkj	去哪里
fkk	鼓噪
fkm	霣
fkn	趣味性
fko	喜庆
fkp	吉安
fkq	欯
fkr	吉凶
fks	㙅
fkt	进口税
fku	彭
fkv	夫唱妇随
fkw	进口货
fky	进口商品
fla	运输工具
flb	3
flc	3
fld	载有
flf	雷雨
flg	堽
fli	二连浩特
flj	顽固坚持
fll	㙼
flm	皾
flp	䢮
flr	3
fls	3
flt	雷射
flu	戴着
flw	地图集
fly	载文
fma	霻
fmd	坱
fme	塴
fmf	坝址
fmg	南开
fmh	远见卓识
fmi	南湖
fmk	3
fmo	3
fmp	南安
fmr	3
fmt	南和
fmu	南部
fmv	3
fmw	南华
fmx	南纬
fmy	坍
fna	专营
fnb	堀
fnd	声威
fnf	专款
fng	专心致志
fnh	韦
fni	声誉
fnj	场景
fnk	声响
fnl	卖国
fnn	圠
fnp	专案
fnq	声名
fnr	亏损
fns	亏本
fnt	声称
fnu	卖
fnv	㘲
fnw	磬
fnx	卖给
fny	卖方
fob	赤子
fof	䞕
fog	䞓
foh	赬
foi	无底洞
foj	㙻
fok	3
fol	3
fon	赮
fop	井底之蛙
foq	赥
for	无数的
fos	3
fot	螫
fou	㶣
fow	专业人才
foy	专业课
fpa	过期
fpb	鹁
fpc	3
fpd	真实感
fpf	过境
fpg	彀
fpi	过滤
fpj	过早
fpk	老字号
fpl	填补国内空白
fpn	索性
fpo	过火
fpp	填补空白
fpq	埦
fpr	幸福的
fps	坾
fpt	过重
fpu	过半
fpw	过分
fpx	专家组
fpy	无神论
fqa	远期
fqb	无限
fqc	寸金难买寸光阴
fqd	无不
fqe	元月
fqf	无声
fqg	无形
fqh	无非
fqi	无水
fqj	远景
fqk	坸
fql	无罪
fqn	均已
fqo	均应
fqp	无害
fqq	远销
fqr	均据
fqs	无权
fqt	无私
fqu	元首
fqv	埩
fqw	无人
fqx	顽强
fqy	远离
fra	老掉牙
frb	地质队
frc	直接对话
frd	亏损面
frf	十年规划
frg	无所事事
fri	喜气洋洋
frk	3
frl	墲
frn	直抒己见
fro	3
frp	零的突破
frr	地质年代
frt	无所适从
fru	支持单位
frw	直接领导
frx	直接经验
fry	无的放矢
fsa	吉木萨尔
fsb	3
fsd	丧权辱国
fse	3
fsf	载歌载舞
fsh	无可非议
fsi	南极洲
fsj	墰
fsm	3
fsn	3
fso	3
fsr	无可挽回
fss	栽树
fst	栽种
fsu	无可辩驳
fsv	㙘
fsw	䨫
fsx	无可比拟
fsy	霍林郭勒
fta	老式
ftb	进行了
ftc	考验
ftd	无私奉献
fte	雾
ftf	远程教育
ftg	都来
fth	老虎
fti	专利法
ftj	煮
ftk	载入史册
ftm	进行曲
ftn	进行改革
fto	真知灼见
ftp	老家
ftq	走私犯
ftr	专利技术
fts	教材
ftt	考入
ftu	老将
ftv	超乎寻常
ftw	都会
ftx	耄
fty	教育
fua	武装警察
fub	无产阶级革命家
fuc	3
fud	幸存
fue	武装力量
fuf	垃圾
fug	二次开发
fuh	培养目标
fui	增辉
fuj	超新星
fuk	无意中
ful	境界
fum	增删
fun	超前发展
fup	起决定作用
fuq	幸免
fur	干部制度
fus	老资格
fut	丧生
fuu	武装冲突
fuv	幸好
fuw	培养人才
fuy	增效
fvb	3
fvc	3
fvf	喜怒无常
fvg	垏
fvi	㙌
fvj	3
fvk	3
fvp	埐
fvq	3
fvs	3
fvx	封建统治者
fvy	雪亮
fwa	截获
fwb	十分陌生
fwc	真假难辨
fwd	堆砌
fwe	堆肥
fwf	辇
fwg	零下
fwh	无休止
fwi	十分注意
fwj	十分明确
fwk	堢
fwm	椝
fwn	十分必要
fwo	塔什库尔干
fwp	十分之
fwq	截然
fwr	干休所
fws	规格
fwt	十分重要
fwu	十分关注
fwv	坋
fww	夫人
fwx	墢
fwy	截
fxa	3
fxb	3
fxc	䨎
fxd	毐
fxi	无比兴奋
fxj	坲
fxn	㘭
fxo	3
fxq	3
fxw	增强信心
fxx	霛
fxy	戋
fya	教育工作者
fyc	堉
fyd	城市面貌
fyf	献计献策
fyg	地方政府
fyi	二话没说
fyj	无论是
fyk	壕
fyl	壈
fyn	教育改革
fyp	教育家
fyq	地方色彩
fyr	教育质量
fys	无计可施
fyt	地方税
fyu	教育部
fyv	教育群众
fyw	教育体制
fyx	城市经济
fyy	卖方市场
gaa	开工
gab	与世隔绝
gad	形态
gae	开采
gaf	开动
gag	刑事
gah	开战
gai	开水
gaj	刑
gak	型号
gal	开国
gam	开山
gan	开辟
gao	开凿
gap	正式宣布
gaq	开销
gar	开挖
gas	开枪
gat	开篇
gau	开阔
gav	开刀
gaw	开会
gax	开花结果
gay	正式访问
gbd	事出有因
gbf	3
gbg	击球
gbh	3
gbl	3
gbn	珠联璧合
gbo	3
gbq	3
gbr	3
gbs	3
gbu	3
gbw	击伤
gby	3
gca	㺹
gcb	到了
gcc	3
gcd	万马奔腾
gcf	致
gcg	至于
gch	到点
gci	死马当活马医
gcl	3
gcn	瑈
gcp	致密
gcq	玧
gct	天马行空
gcu	致意
gcv	3
gcw	到会
gcx	3
gcy	致谢
gda	⑦
gdb	环卫
gdc	天台
gdd	▼
gde	@
gdf	亚太地区
gdg	⑤
gdh	″
gdi	天堂
gdj	一大早
gdk	吞噬
gdl	□
gdm	天赋
gdn	天性
gdp	
gdr	『
gds	＼
gdt	①
gdu	正确道路
gdv	⑨
gdw	正确领导
gdx	‘
gdy	更有效地
gea	青草
geb	一肚子气
gec	䝌
ged	青春
gee	青县
gef	表露
geg	燹
geh	逋
gei	表演
gej	更加紧密地
gel	䀃
gem	青贮
gen	青翠
geo	青烟
gep	瑷
geq	青铜
ger	逐年
ges	青松
get	更加重视
geu	表决
gev	䝓
gew	两用人才
gex	青绿
gey	青州
gfa	平均工资
gfb	迈进了
gfd	一去不复返
gff	平均增长
gfg	五十万
gfh	一起上
gfi	表示满意
gfj	平均日产量
gfk	玩味
gfl	五十四
gfn	平均收入
gfo	天真烂漫
gfp	表示祝贺
gfq	一专多能
gfr	表示热烈欢迎
gfs	3
gft	再进行
gfu	表示决心
gfw	正规化
gfy	平均主义
gga	一世
ggb	一下子
ggc	一致通过
ggd	一大
gge	五月
ggf	一场
ggg	一下
ggh	一点
ggi	一举
ggj	一时
ggk	一路
ggl	一回
ggm	一致同意
ggn	一心
ggo	球迷
ggp	一字
ggq	玻璃钢
ggr	五年
ggs	琹
ggt	一条
ggu	一道
ggv	万事如意
ggw	一段
ggx	一线
ggy	一致认为
gha	正式
ghb	一目了然
ghc	下马
ghd	正确
ghe	下月
ghf	一些地方
ghg	鄢
ghh	羐
ghi	正常
ghk	下跌
ghl	政界
ghm	下山
ghn	下属
ghp	逐步完善
ghq	正名
ghr	下手
ghs	下榻
ght	下午
ghu	一些单位
ghv	逐步建立
ghw	弄虚作假
ghx	下级
ghy	正义
gia	表演艺术家
gib	救出
gic	3
gid	一尘不染
gie	政治力量
gif	求教
gig	逐渐形成
gii	救治
gij	救星
gil	政治思想
gim	求同
gin	政治局
gip	求实
giq	政治危机
gir	救援
gis	至少可以
git	求生
giu	政治关系
giv	珱
giw	政治体制改革
gix	政治经济学
giy	裘
gja	畱
gjc	下里巴人
gjd	亘古
gjf	更替
gjg	更正
gjh	瑁
gji	更少
gjj	更早
gjm	㻦
gjn	更改
gjp	䢋
gjq	更名
gjr	更迭
gjs	形影相吊
gjt	理科
gju	一星半点
gjv	表里如一
gjw	与日俱增
gjy	更为
gkb	事隔
gkc	开足马力
gkd	事态
gkf	逼真
gkg	整理
gkh	橐
gki	束
gkj	整日
gkk	逗号
gkl	带回
gkm	鬲
gkn	一鸣惊人
gko	整数
gkp	事宜
gkr	一口气
gks	事权
gkt	事先
gku	豌
gkw	事件
gkx	整编
gky	整齐
gla	3
glc	3
gld	珚
gle	3
glf	天罗地网
glg	画画
gli	一团漆黑
glj	3
glk	一连串的
gll	瓃
glp	两国之间
gls	3
glt	列车长
glu	画卷
glw	一连几天
gly	正因为这样
gma	下岗工人
gmb	现出
gmc	叀
gmd	现有
gme	两边
gmf	瑞士
gmg	珊瑚
gmh	刺眼
gmi	棘
gmj	曺
gmm	两岸
gmn	责怪
gmo	两广
gmp	再审
gmq	现金
gmr	现年
gms	两极
gmt	再造
gmu	现状
gmv	一见如故
gmw	璀
gmx	丙纶
gmy	郦
gna	与其
gnb	开辟了
gnc	3
gnd	平民百姓
gnf	政局动荡
gng	欤
gnh	瑂
gnj	开怀畅饮
gnl	3
gnn	玘
gno	3
gnr	玚
gns	3
gnt	恶性循环
gnu	恶性竞争
gnw	开展合作
gny	开发试验区
goa	亚东
gob	严防
goc	3
god	事业成功
goe	政府采购
gof	来者
gog	晋
goh	恶战
goi	亚洲
goj	严明
gok	来路
gom	开业典礼
gon	恶心
goo	恶魔
gop	政府官员
gor	来年
gos	政府机构
got	晋升
gou	政府间
gov	更应如此
gow	来华
goy	来讲
gpa	3
gpd	来之不易
gpf	一穷二白
gpg	现实表现
gpj	开宗明义
gpk	3
gpn	烈军属
gpt	副社长
gpu	天安门
gpw	一家人
gpy	事实说明
gqa	万荣
gqb	列出
gqc	万难
gqd	万古
gqe	劢
gqf	麸
gqg	死刑
gqh	㱜
gqi	列举
gqj	裂
gqk	青铜器
gql	列国
gqm	一针见血
gqn	残局
gqo	残废
gqp	列宁
gqq	裂解
gqr	万年
gqs	赘述
gqt	鳌
gqu	裂痕
gqv	残忍
gqw	殁
gqx	列强
gqy	列为
gra	碧蓝
grb	青年联欢节
grd	一拥而上
gre	3
grf	开拓者
grg	一年一度
grh	3
gri	珠江
grj	3
grk	一失足成千古恨
grl	青年团
grm	珤
grn	互换性
grp	一技之长
grq	一手包办
grr	来势凶猛
grs	3
gru	一年半载
grx	瓅
gry	事后诸葛亮
gsa	严格区分
gsc	3
gsd	膥
gsf	理想境界
gsg	一查到底
gsi	正本清源
gsj	严格监督
gsl	3
gsn	一相情愿
gso	3
gsq	3
gsr	严格控制
gss	互相配合
gst	╒
gsu	末端
gsv	3
gsw	互相合作
gta	麦苗
gtb	麦子
gtd	政策研究
gtf	严重地
gtg	正处于
gth	3
gtj	天长日久
gtk	一生中
gtl	政策界限
gtm	一般见识
gtn	一般性
gto	五笔数码
gtp	敷衍塞责
gtq	瓈
gtr	政策措施
gts	一盘棋
gtt	副处长
gtu	平等竞争
gtw	政务公开
gty	珠穆朗玛
gua	致闭幕词
gub	平陆
guc	副总参谋长
gud	郏
gue	瑐
guf	万美元
gug	平整
gui	平淡
guj	平日
guk	琣
gum	开门见喜
gun	平民
gup	事前审计
gur	青壮年
gus	慭
gut	平等
guv	㻩
guw	带头人
gux	副总编
guy	五颜六色
gva	巠
gvc	3
gvf	坙
gvg	珒
gvh	疌
gvm	3
gvp	一怒之下
gvq	3
gvr	3
gvt	珺
gvu	3
gvv	开始建立
gvw	一九八四年
gwa	珍藏
gwc	现代戏
gwd	与众不同
gwe	珍爱
gwf	现代教育
gwg	一件事
gwi	现代汉语
gwj	下个星期
gwk	一个中心
gwl	救命恩人
gwm	壐
gwn	责任心
gwo	3
gwp	万分之
gwq	一会儿功夫
gwr	五体投地
gwt	现代科学
gwu	更何况
gwv	一贫如洗
gww	现代化建设
gwx	环保组织
gwy	两个文明建设
gxd	正经历着
gxe	下级服从上级
gxf	天经地义
gxg	副经理
gxi	毒液
gxp	一纸空文
gxr	毒气
gxt	一贯重视
gxu	毒瘤
gxv	3
gxw	毒化
gxx	㼄
gxy	一贯主张
gya	开放区
gyb	下议院
gyc	斑驳
gyd	理论研究
gyf	一望无际
gyg	融为一体
gyh	玣
gyi	理论学习
gyk	恶语中伤
gyl	玉田
gym	玉雕
gyn	王永民
gyo	玉米
gyp	理论家
gyr	理论指导
gys	玉树
gyt	副市长
gyu	班次
gyw	副主任委员
gyx	玹
gyy	斑斓
haa	瞸
hab	3
hac	3
had	䁳
hae	虘
hag	遽
hai	3
hak	瞘
hal	勴
han	虚荣心
hao	戯
haq	
har	虚报
has	虨
hat	歑
haw	虚假
hax	虚幻
hay	㓺
hba	齰
hbd	䶢
hbf	￡
hbi	3
hbj	䶚
hbk	䶫
hbm	䶤
hbo	3
hbs	䶗
hbt	䶜
hbu	䶘
hbv	3
hbw	䶨
hbx	3
hcd	颇丰
hch	非驴非马
hcl	3
hco	3
hct	䀵
hcx	3
hcy	悲欢离合
hda	矋
hde	3
hdf	蜚声
hdg	歳
hdh	悲
hdi	非法
hdj	䁆
hdn	悲愤
hdo	3
hdp	3
hdr	3
hdt	非得
hdu	悲凉
hdw	悲伤
hdx	䋰
hdy	目不识丁
hea	3
hed	3
hee	3
hef	鼎力支助
hei	3
hek	3
hem	3
hen	3
heo	3
hep	瞹
hev	3
hew	3
hex	3
hey	3
hfa	3
hfb	3
hfc	眃
hfe	3
hff	䁱
hfg	3
hfi	眛
hfj	3
hfl	3
hfm	3
hfo	3
hfr	3
hft	旧地重游
hfv	3
hfw	睦邻
hfy	悲喜交集
hga	非正式会议
hgb	上限
hgc	上台
hgd	上面
hge	上边
hgf	上进
hgg	上班
hgh	眄
hgi	上海
hgl	上回
hgm	上岗
hgn	上届
hgo	上座
hgp	上家
hgq	上钩
hgr	上报
hgs	眜
hgt	上千
hgu	上前
hgw	督促
hgx	上下级
hgy	上交
hha	䁦
hhd	凹凸不平
hhe	3
hhg	频带
hhh	目睹
hhj	3
hhm	3
hhn	鼑
hhp	鷪
hhr	步兵
hht	步行
hhu	频道
hhw	氍
hhy	步调
hia	3
hic	3
hid	非常丰富
hie	睄
hif	3
hig	雌激素
hih	3
hii	非常清楚
hik	3
hip	矘
hir	非常抱歉
hit	非常重视
hiw	非常保守
hix	点滴经验
hiy	非常设机构
hja	上星期
hjc	3
hjd	旧有
hjf	卓越
hjg	睼
hjk	3
hjl	3
hjm	3
hjo	3
hjq	睗
hjr	3
hju	3
hjv	3
hjy	3
hka	战功
hkb	点出
hkd	此路不通
hke	睊
hkf	战场
hkh	瞆
hkj	㓠
hkl	战车
hkm	䁚
hkn	占尽
hko	点燃
hkq	点名
hkr	点播
hkt	战备
hku	点将
hkv	3
hkx	点缀
hla	3
hlc	3
hlf	战略协作伙伴关系
hlg	䁵
hlh	战略战术
hli	3
hlj	3
hlo	鹸
hlq	3
hlr	战略的
hlt	战略稳定
hlx	3
hma	㕟
hmb	3
hmc	3
hme	3
hmg	眮
hmh	3
hmj	3
hmk	3
hml	3
hmm	3
hmn	卨
hmo	3
hmq	3
hmr	3
hms	3
hmt	3
hmw	3
hmx	3
hnd	卢布
hne	3
hnf	3
hnh	睱
hni	県
hnj	3
hnl	3
hnn	䁕
hno	3
hnp	3
hns	3
hnw	矅
hny	3
hoc	3
hod	3
hoe	3
hof	3
hoh	3
hoj	3
hok	3
hol	3
hom	3
hon	3
hop	3
hos	3
hot	3
hou	3
how	3
hox	3
hpa	3
hpc	3
hpg	非军事化
hpi	3
hpk	3
hpm	3
hpo	3
hpp	3
hpr	3
hpu	3
hpx	3
hqa	睧
hqc	韰
hqe	3
hqg	3
hqh	睁眼
hqk	睌
hqm	战争赔偿
hqp	3
hqr	䀛
hqs	3
hqu	战争状态
hra	3
hrf	瞃
hrj	3
hrk	3
hrm	3
hro	3
hrr	䀿
hrs	3
hrv	3
hsa	3
hsb	3
hsc	3
hsd	3
hse	3
hsf	非机动车
hsi	3
hsl	3
hsm	3
hso	3
hsp	3
hsq	3
hsr	3
hsx	3
hsy	3
hta	3
htc	3
htd	䀱
htf	眊
htg	步入正轨
hth	矏
htj	3
htl	3
htq	3
hts	3
htv	3
hty	3
hua	3
hub	3
huc	3
hud	睠
hue	瞯
hug	瞤
hui	3
huj	虎头蛇尾
huk	3
hum	3
hup	3
huq	3
hur	目前的情况
huw	悲痛欲绝
huy	3
hva	3
hvb	3
hvc	3
hvd	3
hvf	3
hvi	睩
hvn	3
hvo	3
hvp	㱕
hvs	3
hvv	3
hvw	3
hwa	非公莫入
hwb	龋
hwd	非公有制经济
hwe	眕
hwg	睑
hwi	3
hwn	辪
hwp	具体安排
hwr	具体指导
hwu	具体意见
hwv	瞗
hww	具体做法
hwx	3
hwy	盼望
hxb	3
hxc	3
hxf	虚张声势
hxj	㫮
hxl	3
hxm	胔
hxq	紫金
hxr	矊
hxt	此处
hxu	此前
hxw	飺
hxx	䀝
hya	3
hyb	3
hyd	3
hye	3
hyf	3
hyh	3
hyi	3
hyj	3
hyk	䁁
hym	3
hyn	眿
hyo	3
hyp	3
hyq	3
hys	3
hyw	㱖
iaa	湛蓝
iab	江陵
iad	漭
iae	江边
iaf	汇款
iag	懑
iah	满眼
iai	灌溉
iaj	濗
iak	港口
ial	渵
iam	江山
ian	渠
iao	瀳
iap	潆
iaq	漠然
iar	光荣的
ias	灌木
iat	光荣称号
iau	汇总
iav	港九
iaw	汇集
iay	洪亮
ibb	小孩子
ibc	㵵
ibg	涉及到
ibi	涵洞
ibk	㴠
ibl	渎职罪
ibo	3
ibq	3
ibv	3
ibw	光阴似箭
iby	涵义
ica	汉墓
icb	汉阳
icc	㴉
icd	汉寿
ice	㳙
icf	涌进
icg	涌现
ici	治学
ick	汉川
icn	渘
icp	治军
ics	常驻机构
ict	涌向
icu	滩头
icw	治愈
icx	3
icy	汉语
ida	活在世上
idb	没有及时
idc	㳒
idd	泣不成声
ide	洧
idf	溽
idg	源于
idh	洊
idi	淹没
idj	学成归国
idk	㳓
idm	洏
idn	厳
idq	尚不多见
idr	堂而皇之
ids	深不可测
idt	激励和鼓舞
idu	湖北
idw	渥太华
idx	漫不经心
idy	兴奋剂
iea	湼
ieb	滥用职权
ied	光彩夺目
iee	逍遥
ief	浮动
ieg	浮现
ieh	㴞
iei	溪流
iej	揱
iek	㵑
ieo	3
iep	满腹牢骚
ier	满腔热忱
iet	淫秽
ieu	常胜将军
iew	肖像
iex	满腹经纶
ifa	法医
ifb	潮阳
ifc	潜能
ifd	满载而归
ife	漫无边际
iff	洼
ifg	滚雪球
ifh	滇
ifi	湖南省
ifj	当地时间
ifk	澍
ifl	瀻
ifm	法网
ifn	潜心
ifp	法案
ifq	潜逃
ifr	洁白
ifs	浅析
ift	潜艇
ifu	党支部书记
ifv	3
ifw	水土保持
ifx	流动红旗
ify	法郎
iga	举世
igb	涌现出
igc	洷
igd	＞
ige	溥
igf	举动
igg	清理整顿
igh	举止
igi	清洗
igj	光电
igk	濑
igl	举国
igm	漕
ign	泧
igo	辉煌
igp	清官
igq	辉
igr	滞后
igs	清醒
igt	清算
igu	清新
igv	湽
igw	誉
igx	光线
igy	光亮
iha	小区
ihb	波及
ihc	碆
ihd	濊
ihe	沾边
ihf	波动
ihg	淑
ihh	澁
ihi	泪水
ihj	濒临
ihk	涉足
ihl	小国
ihn	水上飞机
iho	小灶
ihp	婆家
ihq	涉外
ihr	波折
ihs	3
ihu	小将
ihv	婆媳
ihw	小伙
ihx	小费
ihy	小调
iia	浩浩荡荡
iib	淘汰了
iic	沧海桑田
iid	水泥厂
iie	水力
iif	水域
iig	消灭
iii	水泥
iij	水晶
iik	消遣
iil	水田
iim	湖光山色
iin	江泽民说
iio	光辉灿烂
iip	水害
iiq	水饺
iir	浓浓的
iis	清清楚楚
iit	裟
iiu	洋溢着
iiv	法治建设
iiw	水分
iix	水乡
iiy	消亡
ija	小时工
ijd	光明磊落
ijf	温馨
ijg	漫画
ijh	㴘
iji	混淆
ijj	浅显易懂
ijl	水旱轮作
ijm	濒临崩溃
ijn	温情
ijo	清晰度
ijp	㵃
ijq	渇
ijr	湿气
ijs	淉
ijt	漫长
iju	水电部
ijw	测量仪
ijx	水电费
ijy	渴望
ikd	3
ikf	港口城市
ikg	洖
ikh	潞
iki	3
ikk	湂
ikm	党中央领导下
ikn	3
ikp	3
ikv	3
ila	漍
ild	满园春色
ilf	畓
ilg	㳑
ili	少男少女
ill	灅
ilo	3
ilp	治国安民
ilq	3
ilr	壍
ilt	3
ilu	溿
ilw	溭
ily	渐变
ima	油菜
imd	尚不
ime	油腻
imf	滑坡
img	海峡两岸
imi	㴥
imj	江山易帜
imk	氅
iml	滑轮
imn	党内民主
imo	油库
imp	洞穴
imq	湍急
imt	滑稽
imu	注册资本
imv	3
imw	注册登记
imy	测评
ina	洗心革面
inb	汤阴
ind	深情厚意
ine	3
inf	泥土
ing	学以致用
inh	湑
ini	泥泞
ink	澼
inn	汛情
ino	3
inq	3
inr	漏气
ins	3
int	学习先进
inu	漏斗
inw	学习体会
iny	满怀豪情
ioa	淡雅
ioc	3
iog	灇
ioh	3
ioi	小康水平
iom	3
ion	少数民族地区
ioo	濙
iop	㴹
ior	海底捞月
iot	小康生活
iov	滽
iow	油料作物
iox	3
ioy	法庭调查
ipa	学期
ipb	学院
ipd	演奏
ipe	常用
ipf	浣
ipg	泻
iph	党龄
ipi	深深
ipj	学时
ipk	掌
ipl	深思
ipm	党内
ipn	党性
ipo	淀粉
ipp	沉寂
ipq	溶解
ipr	掌握
ips	学术
ipt	深入
ipu	党章
ipv	洝
ipw	沉
ipx	浓缩
ipy	演讲
iqa	温饱工程
iqb	3
iqd	洈
iqf	兴犹未尽
iqg	浑然一体
iqi	泡沫
iqk	洺
iqo	瀂
iqq	没多久
iqr	淘气
iqs	3
iqt	泖
iqu	汮
iqw	海外华人
iqy	汋
irb	掌握了
irc	派驻
ird	浠
irf	激增
irg	浜
irh	沠
iri	浙江
irk	派员
irl	泊车
irm	淛
irn	激情
irp	举手之劳
irq	溾
irr	举手投足
irs	3
irt	汽笛
irv	游手好闲
irw	激化
irx	小泉纯一郎
iry	党的方针
isa	清查工作
isd	学术研究
ise	添枝加叶
isf	河南
isg	没想到
isi	河水
isj	酒量
isk	酒吧
isl	学术团体
ism	河岸
isn	光杆司令
iso	河床
isq	3
isr	漂白
iss	潸
isu	当机立断
isw	学术会议
isy	漂亮
ita	水利工程
itb	洛阳
itd	鋈
ite	活力
itf	活动
itg	海事
ith	涎
iti	海水
itj	省时
itk	海口
itl	党和国家领导人
itm	海岸
itn	党委书记
ito	湫
itp	当务之急
itq	海岛
itr	海拔
its	流行歌曲
itt	省长
itu	水利部
itv	深入群众
itw	省份
itx	深入贯彻
ity	学生证
iua	洴
iub	涪陵
iud	浂
iue	洋县
iuf	学前教育
iug	润
iuh	3
iui	润滑
iuj	漳
iuk	滋味
iuo	湴
iuq	㶄
iur	沉痛的教训
ius	海关检查
iut	ˇ
iuu	兴冲冲
iuw	洋人
iux	省部级
iuy	洋房
ivb	汝阳
ivd	游刃有余
ivf	当地
ivg	当天
ivi	沼泽
ivj	当晚
ivk	当中
ivn	当心
ivp	当家
ivq	当铺
ivr	当兵
ivt	浸种
ivu	当着
ivv	水灵灵
ivw	当代
ivx	3
ivy	涉嫌诈骗
iwa	沿革
iwb	小分队
iwc	滃
iwd	沿袭
iwe	没用
iwf	法人地位
iwg	洽
iwh	滺
iwi	沿江
iwk	雀跃
iwl	3
iwm	浴巾
iwn	没收
iwo	党风廉政建设
iwp	淮安
iwr	学分制
iws	㳜
iwt	沿街
iwu	淮北
iwv	党风建设
iww	法人代表
iwx	沎
iwy	汄
ixd	3
ixe	泑
ixf	消费者协会
ixj	浪费时间
ixk	漒
ixo	3
