hgd	丄
vjf	娌
iit	娑
vnt	娓
vdq	娔
vfh	娬
vct	娭
vwn	娰
vkg	娱
vbc	娵
vad	娸
vxy	娹
vvi	娽
bsk	娿
vuk	婄
ihc	婆
ves	婇
vhd	婔
veq	婗
vud	婘
vyk	婛
vld	婟
vge	婧
vmd	婩
vgl	婳
vnk	媁
vft	媎
vdm	媔
vam	媖
vxx	媘
vnh	媚
veg	媛
tov	媝
van	媟
vjh	媢
vle	媦
vhv	媫
vwk	媬
vbh	媸
vgx	嫊
vep	嫒
vqm	嫓
vat	嫕
vjl	嫚
vov	嫝
vip	嫦
vak	嫨
vgk	嫩
voa	嫬
vha	嫭
vfu	嫱
vos	嫲
vdu	嫴
vue	嫺
vlf	嫼
vuj	嬂
vfp	嬄
vry	嬓
vou	嬚
vlg	嬛
vkk	嬠
vpn	嬣
vfn	嬦
voo	嬫
vem	嬹
vaa	嬺
vmm	孆
vmw	孈
vau	孏
bgd	孒
byi	孓
fpb	孛
ftb	孝
vcb	孥
uxx	孳
bmm	孾
pyy	宀
pxb	宆
ptk	客
pde	宥
pft	宯
puf	宰
pks	宲
pdh	害
pcu	宻
pwd	宿
pqk	寃
pnt	密
phm	寊
pnl	寍
pfh	寘
plv	寠
pnh	寤
paw	寨
pmd	寷
yfy	対
tmd	射
iyu	尐
wiu	尒
wqb	尣
atg	尧
yki	就
nng	尸
npw	屄
nld	屇
nkm	屌
ntf	屐
nmi	屓
nfi	屚
nov	屡
nto	屦
nmm	屭
gbn	屯
mvy	屻
mfh	屽
mrc	岅
mqb	岇
mqr	岉
mby	岋
mfq	岏
wvm	岔
mwj	岕
qyn	岛
mth	岝
mmd	岟
mhc	岥
meg	岨
mxj	岪
mmg	岫
mxe	岰
mkq	岲
mdf	岸
mvg	峍
mpv	峖
mtd	峤
mww	峪
mah	峫
mtj	峲
irm	峾
mgk	峿
map	崂
mqe	崅
mij	崉
mqa	崏
mld	崓
mwy	崔
myk	崞
mtv	崣
mgv	崨
mmj	崱
mdg	崴
myu	崹
myt	崺
mkk	崿
mut	嵃
mwg	嵛
mdw	嵟
mwc	嵡
mov	嵣
mjf	嵵
mxk	嵹
maq	嵽
mlr	嶃
mwv	嶋
mds	嶏
mqk	嶑
mto	嶓
mdu	嶚
mog	嶫
mkb	嶯
mlh	嶵
mfn	嶹
mue	巄
moo	巆
mak	巏
vnn	巛
bnn	巜
kth	川
ijs	巣
vlr	巤
awy	巩
cay	巯
cnh	巴
awn	巷
ymh	市
vmh	帇
mhp	帎
mhr	帙
rmh	帛
mhh	帧
dtb	帮
mhw	帷
ipk	常
mhg	帻
mhj	幌
mhe	幍
ajd	幕
mhu	幛
mht	幡
mhi	幥
mhq	幨
fgg	干
rhf	年
xnn	幻
owj	庎
ocn	序
ofy	庒
oqn	庖
ohk	店
olk	庘
owf	府
oye	庡
ogc	庢
oqi	庣
owg	庩
otf	庭
ofw	庱
oao	庶
oal	庿
oyv	廊
ouk	廍
oxd	廎
orx	廏
ojf	廛
onf	廜
oqe	廨
vpv	廵
mpd	廸
rpd	廹
lkp	廻
xxn	弜
xbh	弢
xca	弪
xah	弬
xee	弸
xkj	强
xgm	弻
xil	弾
xja	彃
xue	彅
xvf	彇
xhh	彏
vng	彐
vow	彛
vfa	彟
haw	彪
ttt	彳
tav	彻
tqa	彽
tsg	徆
tnk	徫
nyn	心
nyy	忄
fnu	忈
nnn	忋
ghn	忑
nfh	忓
ynn	忘
nby	忣
nwj	忦
npq	忱
nrb	忷
nnh	忸
wvn	忿
wwn	怂
nth	怍
nqk	怐
nvc	怓
nmg	怞
nqa	怟
nfc	怯
ngm	怲
nkq	怳
nkw	怾
nqi	恌
nws	恘
dhv	恝
ntk	恪
nwc	恱
gog	恶
ndd	恹
nie	悄
ton	悉
nfp	悖
njf	悝
nkn	悞
wht	悠
kkh	患
ynu	悥
wqi	您
fpw	悫
egc	悬
nfu	悻
nhj	悼
nqe	惂
njs	惈
nrq	惞
nwy	惟
tgh	惩
nag	惬
nul	惮
nmd	惴
nrg	惶
adk	惹
njg	惿
nlg	愄
wge	愈
nwg	愉
nat	愍
ntj	愎
npt	愘
njl	愠
nam	愥
nkh	愦
hhn	愳
nee	愶
ice	慂
npj	慏
nla	慖
lrn	慙
nip	憆
nwf	憏
noo	憦
nbt	憨
nue	憪
nva	憳
ndg	憾
nkk	懆
scn	懋
nep	懓
nea	懚
nxt	懝
nah	懢
fpg	懿
nos	戂
nhh	戄
dnx	成
akd	戓
akg	或
bcl	戤
jtg	戥
ila	戦
ynm	扁
ynh	扉
rvn	扏
rcy	払
rnr	扬
rjg	抇
reg	抈
rnw	抉
rny	抋
rrh	抙
rgu	抨
rjh	抻
rek	拁
rxj	拂
rug	拌
vcr	拏
rqk	拘
rdf	拜
ran	拣
raw	拱
rwg	拴
rff	挂
rah	挋
rye	挔
rtd	挢
rng	挧
rtf	挺
rgk	捂
rvt	捃
rjf	捍
rke	捐
rge	捕
rlh	捙
rkk	捛
rqy	捣
rtv	捼
ryw	掖
rnb	掘
rak	掝
ryk	掠
rpw	探
rwy	推
rgd	掭
ryn	掮
rhe	掯
rwv	掰
rlg	掴
rud	掷
rdw	揍
rea	揑
ruj	揞
rvc	揤
rxx	揩
rto	揪
rsj	揸
rjl	揾
rna	搌
ryx	搐
ruv	搛
reh	搜
rcc	搡
rov	搪
rbc	摄
rha	摅
rlp	摙
raj	摸
rxk	摾
rip	撑
roq	撛
rfw	撵
rfk	撷
rqg	撸
rdg	撼
rfj	擀
rlq	擉
rnk	擗
rje	擝
rth	擤
rll	攌
ros	攠
fcu	支
fty	攼
rty	敀
hkh	敁
ywr	效
txt	敏
wgi	敛
imk	敞
jsh	敤
ooh	敥
jgq	敭
ykm	敲
geh	敷
ybf	斊
yhq	斍
yyv	斏
qkr	斪
ywu	於
yup	旁
ytm	旃
ytt	旌
yvg	旔
ytd	旖
rxa	旣
jjj	日
jfh	旪
jfj	旱
jqy	旳
jyy	旼
jgb	旽
jdw	昃
jrc	昄
jyr	昘
jfc	昙
jbm	昢
jgs	昩
jvk	昭
jae	昮
jgh	是
yni	昶
jlf	昷
jab	昻
jig	晄
jgc	晊
jtm	晑
jpl	晖
jhq	晛
jma	晪
jyk	景
jeq	晲
jpq	晼
jhd	暃
jwg	暌
jam	暎
jfm	暔
jpj	暝
vca	暨
jri	暭
jwy	暹
jsj	曋
jip	曭
jkk	曮
jhk	曱
jxy	曵
qrj	曶
gma	曹
ulj	曾
ewv	朌
ebm	朏
eyv	朖
yne	望
sss	木
swy	朲
set	朸
snh	朻
sgn	朽
scy	杈
sgq	杌
sqy	杓
sdy	杕
sxn	杛
snn	杞
saf	杢
shg	杫
syw	杭
stf	杵
srh	杽
seg	枂
sxx	枇
sah	枒
sww	枞
sfc	枟
gmi	枣
smy	枬
sgu	枰
sqk	枸
san	枻
ans	枼
sgm	柄
sug	柆
sty	柇
svk	柖
sdg	柘
sjh	柛
sry	柝
smf	柟
src	柧
sxj	柫
sdc	柭
snt	柲
scf	柽
srg	栀
sqb	栁
sfi	标
shn	栌
swg	栓
see	栛
std	栝
sui	栤
sjx	栧
sqc	栬
sbg	栮
sde	栯
sft	栲
stm	栴
sig	桄
sag	框
vks	桇
sgc	桎
smg	桐
ccc	桑
svq	桚
sgo	桠
uqs	桨
sgv	桱
sgj	梗
smw	梣
hkc	梷
stj	梸
ses	棌
sld	棝
slt	棞
smu	棡
sqv	棦
seb	棴
sbc	棷
ssw	棼
seq	棿
syk	椋
sfh	植
svl	椔
spg	椗
sjj	椙
sow	椨
spe	椬
smd	椯
sad	椹
sue	椾
sdw	椿
spt	楁
smn	楇
sut	楌
spl	楎
sdh	楔
svc	楖
sqr	楤
ssl	榃
sjt	榄
sus	榇
svv	榋
snu	榌
sni	榍
spu	榟
spj	榠
ser	榣
sji	榥
spw	榨
sha	榩
slw	榲
swn	槌
suv	槏
scc	槡
spd	槣
slp	槤
sqe	槲
sjl	槾
srr	樊
smm	樱
sva	樳
sdu	橛
syq	橠
soo	橩
sae	橵
sma	檂
bea	檃
slh	檌
sog	檏
sqd	檐
sea	檓
snk	檘
slf	檡
syl	檩
sxr	檰
soa	櫎
sqo	櫯
sav	櫹
shh	欔
sll	欙
uqw	次
wwk	欲
ctd	欸
sks	歌
hff	歭
hxj	歶
gqt	歼
gqw	殄
gqe	殍
gqk	殒
gqf	殖
gqp	殡
gqh	殩
wcu	殳
eow	毇
xbn	毑
txy	毓
ykp	毫
tfn	毯
cde	毵
jnt	毾
rnt	氡
rnd	氪
rnj	氲
iii	水
iyy	氵
nii	氹
iet	氻
ifh	汁
giy	求
iwy	汃
ign	汅
tyi	汆
icy	汊
idy	汏
ibg	汓
itn	汔
inf	汛
ijg	汩
iyt	汸
icn	沀
itd	沃
pqi	沊
inh	沑
ihg	沚
ide	沥
isy	沭
idf	沯
idg	沰
idc	沷
ilg	沺
iqk	泃
iek	泇
int	泌
imd	泱
iyn	泳
ive	泿
ido	洃
ild	洇
iug	洋
itf	洗
img	洞
ivg	津
ivk	洳
iyj	浏
ivf	浔
icw	浚
ige	浦
ifo	浾
ijf	涅
iux	涕
icc	涰
ipg	淀
iad	淇
iqo	淗
ipf	淙
isw	淞
qiu	淾
ito	渊
igm	渍
ifn	渎
iqg	渔
ipj	渖
isj	渣
ijl	温
iaw	港
ird	湃
ink	湋
iwv	湓
ish	湘
irg	湟
ihd	湨
ixg	湪
isf	湮
ikh	溃
iov	溇
ibc	溋
iuv	溓
ifc	溘
iqy	溜
iss	溧
ith	溴
ipw	溶
eud	滕
iyw	滚
idh	滟
iag	满
iap	滢
iyo	滦
iwh	滫
iha	滹
ieh	漞
igk	漱
ikk	漶
iav	潇
idu	潦
iul	潧
iqt	潴
iuj	潼
ioq	潾
iwg	澄
iyc	澈
inb	澉
ifk	澎
iqe	澥
iaj	澫
iuq	澬
ikb	濈
ihh	濒
iyk	濠
iqp	濥
iog	濧
ibk	濻
ioj	瀍
ifj	瀚
inl	瀷
ijy	灏
oyy	灬
goi	灭
ovt	灱
qoi	灳
fou	灻
owc	炂
oty	炇
odh	炐
ouf	炓
onw	炔
oyw	炕
ojg	炟
osy	炢
osk	炣
otb	炧
opx	炨
oan	炬
ock	炲
ogm	炳
oyg	炷
otm	炿
otl	烅
gqj	烈
wso	烋
ote	烐
oaa	烒
off	烓
oaw	烘
opt	烢
odo	烣
oah	烥
inr	烫
rvy	热
otx	烸
oof	烾
omy	烿
oux	焍
ols	焑
okk	焒
oqh	焔
dtf	焘
ojx	焜
oyk	焞
opq	焥
oee	焩
orq	焮
ooo	焱
oyc	焴
jjo	焸
omu	焹
ojt	焺
org	煌
hho	煛
olg	煨
vgq	煭
ode	煳
ojl	煴
ofm	煵
ove	煺
oyn	煽
orn	熂
oth	熄
cex	熊
opk	熍
oer	熎
opj	熐
ykb	熟
onr	熠
olv	熡
onu	熤
xod	熲
oul	熷
ofa	燌
odu	燎
ova	燖
ojy	燝
yoo	燮
ouj	燱
ojv	燳
oma	燶
ofn	燽
oda	爄
qod	爒
ojj	爞
ofk	爧
rhy	爬
egd	爰
tet	牞
tyt	牥
ttf	牦
tay	牫
tmg	牰
tpb	牸
tjt	犁
tnh	犌
tvg	犍
tyn	犏
tvl	犣
qtd	犹
qtm	狈
qtq	狍
qtp	狩
qtg	狭
qtj	狮
qtx	狴
qtk	狷
qte	猊
qtb	猛
qtw	猞
qta	猫
qtl	猬
qtc	猱
qtu	獐
qtt	獯
gyi	玊
gnn	玌
tff	玍
gwy	玐
gkh	玔
geg	玥
gwb	玱
gte	珘
gng	珝
gqi	珧
giv	珰
gtx	珻
gmy	珼
gyg	琂
grt	琕
gph	琯
ghj	琸
gxx	瑎
gbb	瑘
gpr	瑸
gak	瑾
gyt	璇
gmm	璎
gam	璜
gha	璩
gpl	璭
gvh	璶
udr	瓣
ykk	瓤
pqg	瓭
sfg	甄
lvg	甊
alp	甍
aaf	甙
tgl	甥
qre	甮
mhn	由
tld	甶
ilf	畄
jhn	畅
lge	畏
ylw	畒
lrc	畖
ykl	畗
lmf	畘
lwe	畛
flq	畞
rlf	畠
tol	番
ljg	畼
loq	疄
ubk	疖
uqy	疚
uoi	疢
uyg	疰
uek	痂
ueh	痈
uji	痋
ugx	痍
uff	痔
udh	痞
ufn	痣
uap	痨
uhd	痱
utd	痴
ulg	痹
uyw	瘀
uge	瘃
uul	瘅
uwn	瘊
uew	瘐
urq	瘣
unw	瘳
uak	瘽
uma	癑
uuj	癔
ugk	癞
wfj	癷
rnn	癿
rqb	皃
rcn	皅
rrc	皈
rmn	皑
qvh	皱
cwt	皴
hae	皻
blf	盁
tlf	盉
qbl	盌
fxy	盏
jty	监
hyn	盳
hfi	眎
hjh	眒
hqa	眡
hnx	眤
hdx	眬
hqk	眳
hqj	眴
hag	眶
hud	眹
hug	眻
ugh	着
hkg	睈
hrd	睎
hma	睓
hpq	睕
hyw	睟
hwy	睢
hgi	督
hlg	睤
hmf	睭
hvg	睷
hwn	睺
hwg	睽
hfc	瞌
hyk	瞓
haj	瞙
hyr	瞝
hfk	瞦
hhp	瞾
htm	矀
hto	矁
hkk	矂
hrp	矈
hhw	矍
hha	矑
tdk	知
tdx	矧
tda	矩
tdw	矬
dsh	矴
djh	矵
dwy	矾
diy	砅
dhd	砉
dhg	砋
dby	砐
dfn	砖
dfc	砝
dxy	砪
vcd	砮
ddg	砳
dve	硍
dga	硎
dgu	硖
day	硭
dfo	硳
dee	硼
dlt	碅
dpg	碇
daa	碊
dms	碋
dgx	碡
dyn	碥
dnh	碬
dyu	碲
drh	磃
dug	磋
dqa	磔
dyw	磙
drv	磤
oss	磨
dam	磺
dco	礟
dux	礠
dak	礶
pyg	祆
pyh	祉
pyd	祓
pyq	祧
pyk	祸
ylk	禀
pyu	禅
wyr	禽
tuf	科
txx	秕
tdg	秙
tty	秝
tgs	秣
tck	秮
tpe	秾
tkg	程
twy	稔
tjs	稞
tmf	稠
qgt	稣
toj	稥
tdn	稽
tvc	穊
tfu	穑
tgj	穗
pwq	穸
pwa	空
pwg	窀
pwt	窄
pwx	窈
pwv	窘
pwk	窜
pww	窬
pwo	窲
pwr	窳
ufh	竍
uaj	竎
uug	竝
ukq	竞
ujf	章
ucw	竣
upe	竩
uqv	竫
ujq	竭
ter	竻
tfj	竿
tqr	笏
tmq	笕
tbm	笜
tlc	笝
tth	笮
tsk	笴
tak	笸
tep	笾
twg	答
tjg	筛
tqv	筝
trc	筢
taw	筮
tie	筲
tdt	筹
tkm	筼
tlg	箅
tra	箝
tjx	箟
tgm	箦
tag	箧
tyk	篙
tah	篚
tbi	篜
tam	篝
tij	篞
ttd	篷
tve	簋
tlm	簤
tpy	簶
tad	簸
trq	籀
tdi	籍
tsq	籕
otn	籺
omh	籼
sou	粟
omm	粣
oeb	粰
ivw	粱
hqc	粲
oqa	粼
opf	粽
own	糇
oxu	糑
ocy	糔
oug	糕
oip	糛
oov	糠
oob	糭
ofd	糯
xet	糼
yxi	紊
xdn	紌
xdy	紎
xuf	紏
xxh	紖
xcn	紦
xrw	紩
xdj	絔
xlk	絗
xgj	絙
xgh	絚
xgc	絰
xrd	絺
xkk	絽
xgk	綀
xdw	綊
xeb	綒
xon	継
xss	綝
xpq	綩
xgv	緁
xoo	緂
xam	緓
xim	緔
xyj	緕
xal	緢
xrb	緵
xsf	緸
xck	緿
xve	縁
xuk	縂
xdg	縅
xpd	縖
xwh	縧
erm	繇
xhq	繉
xvo	繍
xae	繖
xus	繜
xaq	繱
xyl	繵
xma	繷
oxi	纇
xoj	纒
xll	纝
xgf	纡
xtn	纥
xvy	纨
xfn	纬
xxx	纰
xnh	纽
xan	绁
xta	绛
xux	绨
xsh	缃
xdm	缅
xkh	缋
xwg	缏
xri	缐
xwn	缒
xeg	缓
xxg	缘
xgo	缙
xdf	缛
xtd	缝
xfk	缬
xug	缮
xul	缯
xlg	缳
xtf	缵
rma	缸
rmq	缼
rmm	罁
mmr	罂
rmx	罆
mri	罓
pwf	罕
lyg	罜
lss	罧
lfh	置
lln	罳
lfc	罴
ldo	罽
lak	羁
ugo	羔
ugq	羝
ugu	羡
ugc	羧
ugm	羰
naj	羿
nvf	翆
ugn	翔
nuv	翣
gkm	翮
nlp	翴
fte	耂
dii	耖
dit	耗
dif	耘
dia	耢
dio	耱
bwv	聁
bmf	聃
bwy	聆
bdm	聏
bbg	聑
brt	聛
bpw	聜
bua	聠
bpg	聢
bxx	聨
bwc	聬
bfl	聴
nbf	聼
enn	肊
eqy	肑
ebn	肔
evy	肕
eet	肜
ecy	肞
edn	肬
ejh	胂
mef	胄
eth	胙
esk	胢
vcm	胬
eyn	胲
emg	胴
qrb	胷
eqc	脃
edo	脄
erh	脌
epe	脓
yom	脔
epf	脘
efc	脚
eyk	脝
etx	脢
erd	脪
ekm	脶
egv	脻
eyw	腋
edj	腌
elg	腘
ewg	腧
emd	腨
ecn	腬
ekk	腭
erf	腯
evg	腱
eew	腴
edm	腼
yte	膂
ege	膊
etl	膍
eaj	膜
elv	膢
epw	膣
eyu	膪
edu	膫
eto	膰
erl	膴
eay	膵
naw	臀
eou	臁
elq	臅
efk	臌
efd	臑
eaw	臒
ead	臓
eon	臕
eak	臙
ahn	臣
thd	臭
ewi	臾
wfk	舒
qah	舛
epq	舜
tev	舠
tem	舢
tec	舥
tey	舫
tek	舯
tew	船
tes	舾
tei	艄
teb	艋
teu	艏
tej	艒
teo	艔
tee	艘
tea	艨
aer	艻
awb	芁
anb	芑
abf	芓
axx	芘
agb	芚
awc	芟
ayu	芠
ayn	芦
afq	芫
amw	芮
afc	芰
aou	苂
aav	苆
amf	苒
avk	苕
ahf	苜
axc	苰
arc	苽
axj	茀
adc	茇
adx	茏
aqy	茑
avg	茟
adh	茬
ayw	茭
ari	茱
alk	茴
ald	茵
awg	荃
agu	荚
awf	荟
ayj	荠
any	荩
abi	荪
anu	荬
agk	荳
aws	荷
agi	莍
aii	莎
atx	莓
atf	莛
apf	莞
aeb	莩
avc	莭
ale	莮
aqt	莸
abk	莻
age	菁
abc	菆
arm	菗
auf	菛
arp	菦
auv	菨
abr	菰
afw	菱
agc	菿
aqr	萄
ahq	萈
aec	萉
aig	萍
arv	萔
aeq	萖
adf	萘
amh	萜
ato	萩
apg	萱
aew	萸
auj	萻
akk	萼
ack	葈
avv	葌
aiv	葏
aff	葑
axb	葞
aue	葥
ade	葫
anh	葭
adm	蒇
akh	蒉
auq	蒋
aov	蒌
afh	蒖
aiy	蒗
ate	蒩
aee	蒯
aex	蒵
axw	蒶
axu	蒻
ayk	蒿
ayv	蓈
aft	蓍
aqg	蓟
ayr	蓠
acn	蓣
apq	蓥
atd	蓬
ahl	蓾
apw	蓿
aoj	蔊
aon	蔍
acc	蔘
aho	蔝
agh	蔫
arq	蔸
asj	蕈
alm	蕒
aia	蕖
axq	蕝
adu	蕨
ayx	蕹
akb	蕺
atm	薁
avd	薅
afk	薣
agq	薤
alf	薯
afd	薷
ahw	藈
adi	藕
all	藟
alc	藣
ait	藩
aus	藽
arl	蘀
atq	蘅
abe	蘟
are	蘤
aam	蘳
asg	蘸
aos	蘼
aem	虋
jvt	虭
jyn	虻
jyt	蚄
jga	蚈
jxx	蚍
jjg	蚎
jeg	蚏
jmy	蚒
jrh	蚚
jgg	蚟
jwv	蚡
jwr	蚥
bhg	蚩
juf	蚪
jrg	蚯
jxe	蚴
jry	蚸
jhc	蚾
jcf	蛏
jde	蛕
jug	蛘
jve	蛝
jee	蛠
jua	蛢
jgx	蛦
jmr	蛧
jat	蛲
jef	蛶
jce	蛹
jtn	蜁
jtj	蜊
jyv	蜋
jke	蜎
jtb	蜏
jth	蜒
jtf	蜓
jtd	蜘
jsw	蜙
jad	蜞
jyc	蜟
srj	蜤
jsr	蜥
jgv	蜨
jmf	蜩
jjq	蜴
jge	蜻
jhg	蝆
jpg	蝊
jiw	蝋
jnh	蝑
jdm	蝒
jcn	蝚
jqm	蝜
jgk	蝠
jdf	蝰
jyu	螃
jex	螇
jov	螗
juw	螠
jag	螨
jwh	螩
jgm	螬
jaq	螮
jon	螰
anj	螶
tuj	螽
jto	蟋
jav	蟏
juj	蟑
jhx	蟕
jwa	蟘
jia	蟝
jnn	蟤
joo	蟧
jgj	蟪
jrl	蟱
jap	蠓
jfd	蠕
jaw	蠖
xge	蠡
dwj	蠢
uwl	蠲
jmm	蠳
jhh	蠼
tln	衄
tig	衍
tgk	衙
thh	衢
puy	衤
puh	补
ykg	衰
pum	衲
put	衽
yqn	袌
ycn	袤
puw	袱
yee	裒
puv	裙
puu	裥
puc	裰
pug	裱
yjs	裹
pun	裾
puj	褐
puo	褛
pud	褥
pur	褫
yco	褭
pus	襻
sgh	西
sjf	覃
hqr	覐
qih	覜
ecm	覶
aww	觋
hao	觑
qeh	解
ypq	訦
yhg	訨
yny	訫
yit	訬
yty	訸
yhx	訿
yhk	詀
ybh	詜
wyf	詧
yve	詪
yua	誁
yqq	誃
ygc	誈
rry	誓
yxy	誸
uyd	誾
ycc	諁
yfm	諵
yak	諽
yrh	謕
ylg	譞
aqk	警
yea	譭
ybb	讘
yyn	讠
yfh	讦
yfn	讳
yan	讵
ywx	讹
ywc	讼
yth	诈
yng	词
yhc	诐
yag	诓
yff	诖
yri	诛
ywg	诠
yqv	诤
yaa	诫
ytf	诰
ytb	诱
yce	诵
yge	诼
yyk	谆
yad	谌
yyu	谛
yop	谜
ynw	谬
yug	谰
ykh	谴
yqd	谵
yww	谶
gec	豝
gev	豤
mge	豳
efh	豻
exx	豼
erg	貃
eve	貇
etk	貉
ejf	貋
enh	貑
eex	貕
aym	貣
fmn	貮
cdm	貵
mua	賆
mcw	賐
vhg	賮
mjh	賵
mcc	贂
mdy	贆
msj	贉
maj	贎
cmu	贠
mhk	贴
qyv	贸
mad	贼
mft	赌
ovw	赓
dww	赝
ynk	赢
fot	赦
fob	赧
foj	赨
