DG	三
LM	軸
LS	軻
LY	較
LJ	輥
LO	轆
LT	轎
UD	辦
QB	迎
RP	近
MP	迪
SY	述
LK	迴
OP	迷
VE	退
LP	連
MF	週
JM	遇
MN	過
UT	道
NK	避
LG	還
TH	邊
NG	那
CK	邰
FT	都
AT	醫
TO	釋
JG	量
QS	釘
QV	銀
QI	銷
QX	錄
QP	錠
QA	錢
QR	錦
QJ	錫
QU	鐘
QF	鐵
UG	開
UJ	間
UL	閘
UW	閤
BH	阯
BS	阿
BT	降
BV	限
BX	陛
BP	院
BL	陣
BG	陳
BQ	陷
BF	陸
BJ	陽
BW	際
BD	隨
BE	隱
KJ	雖
FV	雪
FJ	電
FS	霜
GE	青
HD	非
AK	革
SD	頂
KD	順
ED	須
GB	頓
CF	頚
OD	類
JX	顯
UF	養
HQ	餐
CO	馬
EU	騰
CG	驲
ME	骨
VW	鳩
HL	鹵
GM	麗
LF	點
HN	鼎
HB	齡
