AAAA	工
AFRW	七十年代
AFSF	㽑
AFSL	蓋樓
AFSU	某些
AFSY	著述
AFTB	䓔
AFTD	甛
AFTE	著稱
AFTF	甘德
AFTJ	著
AFTK	某种意义
AFTS	藝術家
AFTT	某種意義
AFTX	荖
AFTY	歡聲笑語
AFUC	蕔
AFUJ	蓋章
AFUK	某部
AFUO	㽐
AFUP	薘
AFUY	蓻
AFVF	甘肅
AFVT	七十九
AFWA	七零八落
AFWC	藝
AFWG	匯報會
AFWK	薔
AFWN	蓬勃發展
AFWO	爇
AFWT	著作
AFWU	芙蓉
AFWW	某人
AFWY	藿
AFXC	臨場經驗
AFXI	區域經濟
AFXM	區域網
AFYD	黃土高原
AFYE	蘾
AFYI	弍
AFYW	七十六
AGAA	華工
AGAF	華
AGAJ	荊
AGAM	菁英
AGAO	鷨
AGAT	萬事萬物
AGAU	七五期間
AGAW	黃花
AGBF	黃陵
AGBH	邼
AGBJ	萅
AGBN	芚
AGBW	華陰
AGCE	萬事通
AGCF	荎
AGCJ	菿
AGCO	黃驊
AGDB	歐亞大陸
AGDD	七大
AGDE	董事長
AGDF	萬事大吉
AGDG	黃石
AGDH	華夏
AGDJ	七百万
AGDN	菾
AGEE	七月份
AGEF	菁
AGEG	蕤
AGEH	巧用
AGEJ	藸
AGEP	蓫
AGET	劻
AGEY	莆田
AGFA	華東地區
AGFD	蓬頭垢面
AGFF	黃土
AGFG	七十
AGFJ	芋
AGFM	華南
AGGE	華表
AGGF	甚至于
AGGG	七一
AGGH	匡正
AGGJ	華東地區
AGGK	黃豆
AGGM	華麗
AGGN	䔷
AGGQ	七万
AGGU	黃平
AGHG	廿
AGHH	卄
AGHI	華縣
AGHO	蔫
AGHU	芐
AGHW	萬事具備
AGIB	華池
AGIF	花天酒地
AGIG	黃浦
AGII	華沙
AGIM	黃油
AGIS	黃河故道
AGIT	黃海
AGIY	莍
AGJF	蓴
AGJG	荁
AGJI	菄
AGJM	巧遇
AGJN	蕙
AGJR	莄
AGJS	苹果
AGKF	䓊
AGKG	菫
AGKH	蒚
AGKJ	䓶
AGKK	蘁
AGKL	葍
AGKM	藾
AGKO	虉
AGKP	藗
AGKT	䔩
AGKU	荳
AGKW	蔌
AGLD	甚至還有
AGLF	勤于思考
AGLG	薑
AGLI	萰
AGLK	共青團員
AGLL	莆田
AGLM	共青團中央
AGLP	黃連
AGLT	蒙頭轉向
AGLX	共青團組織
AGMH	芾
AGMI	茦
AGMJ	莿
AGMK	黃巖
AGMM	黃山
AGMT	蓛
AGMU	蔶
AGMW	黃
AGMX	䕻
AGMY	䓣
AGNB	䒓
AGNK	戈壁滩
AGNN	巧
AGNO	䲾
AGNV	㚽
AGNY	戈
AGOO	華鎣
AGOW	區政府
AGPG	巧家
AGPH	落到實處
AGPI	萬惡之源
AGPN	華寧
AGPV	華安
AGPW	華容
AGPY	葬禮
AGQA	葬
AGQC	黃色書刊
AGQE	薞
AGQF	塟
AGQG	薤
AGQJ	茢
AGQQ	黃金時間
AGQR	薚
AGQT	蔜
AGRL	匪夷所思
AGRN	戒毒所
AGRT	巧手
AGST	黃梅戲
AGSU	茉
AGTD	功到自然成
AGTF	七千
AGTG	黃牛
AGTH	廾
AGTM	葬身
AGUA	萬事開頭難
AGUB	藥到病除
AGUD	葬送
AGUE	黃龍
AGUG	黃羊
AGUH	荊門
AGUX	華北地區
AGVA	莖
AGVE	葝
AGVH	萐
AGVI	巧妙
AGVL	葘
AGVU	萬事如意
AGVV	萋
AGWE	帶頭作用
AGWG	蕐
AGWR	薾
AGWT	華僑委員會
AGWU	七億
AGWW	華人
AGXQ	華約
AGXU	䓯
AGXV	七絕
AGXW	荑
AGYD	某一方面
AGYE	華裔
AGYF	巧計
AGYG	華語
AGYI	匤
AGYK	華亭
AGYT	華誕
AGYU	黃帝
AGYV	七五計劃
AGYW	甚至於
AGYX	賢妻良母
AHAA	臥式
AHAG	蔖
AHAH	緊緊圍繞
AHAI	菲薄
AHAJ	萛
AHAK	雅觀
AHAL	蘆葦
AHAN	藘
AHAP	蘧
AHAW	萀
AHBG	監聽
AHBL	臨陣脫逃
AHCE	賢能
AHDD	菲
AHDG	韮
AHDH	臨夏
AHDI	繤
AHDJ	㔈
AHDN	蕜
AHDS	䕁
AHDY	薉
AHEA	難上加難
AHEJ	貢獻力量
AHEM	雅興
AHEQ	臨朐
AHFA	某些地區
AHFD	鹽堿
AHFF	匪幫
AHFH	雅趣
AHFJ	臨場
AHFT	邪教
AHFU	賢達
AHGC	菽
AHGF	邪惡
AHGI	茮
AHGJ	監理
AHGK	緊逼
AHGQ	臨死
AHGT	功虧一簣
AHHB	牙齒
AHHG	監督
AHHH	蕋
AHHI	臨縣
AHHM	蘋
AHHO	煕
AHHR	荹
AHHS	蘃
AHHY	匷
AHIA	芷江
AHIB	鹽池
AHID	緊湊
AHIG	臨清
AHIH	賢淑
AHIL	臨澤
AHIM	監測
AHIN	堅決反對
AHIP	鑒賞家
AHIQ	臨洮
AHIR	臨沂
AHIS	臨湘
AHIT	臨海
AHIU	臨潼
AHIW	臨汾
AHJE	賢明
AHJF	臨時
AHJS	蘋果
AHKC	臨邑
AHKF	苫
AHKG	雅號
AHKH	邪路
AHKK	匪患
AHKM	頤
AHKN	巸
AHKO	熙熙攘攘
AHKQ	鑒別
AHKT	臨川
AHKV	媐
AHKY	㼢
AHLD	堅固耐用
AHLG	臥車
AHLO	蓾
AHLW	臨界溫度
AHMF	牙雕
AHMM	鹽山
AHNB	孯
AHNC	臤
AHND	硻
AHNE	腎
AHNF	堅持
AHNG	朢
AHNH	臣
AHNI	緊
AHNJ	蜸
AHNK	臨
AHNL	鹽
AHNM	賢
AHNN	苢
AHNO	㷂
AHNQ	鑒
AHNR	掔
AHNS	㯺
AHNU	豎
AHNV	婜
AHNW	臥
AHNY	譼
AHOG	鹽業
AHOQ	緊鄰
AHOS	臨床
AHOU	蔝
AHOW	雅座
AHPF	堅守
AHPG	鑒定
AHPN	緊密結合
AHPT	監牢
AHPU	切膚之痛
AHPV	雅安
AHPW	監察部
AHPX	堅實的
AHPY	監視
AHQB	莧
AHQD	臨危不懼
AHQG	臥鋪
AHQO	薒
AHQT	監獄
AHQV	緊急通知
AHQY	萈
AHRF	堅持不懈
AHRG	世上無難事
AHRI	臨泉
AHRK	緊扣
AHRM	緊缺
AHRN	緊握
AHRO	監督製度
AHRP	監控
AHRT	堅挺
AHSA	監督權
AHSF	臨桂
AHSG	臨西
AHSS	監禁
AHSV	緊要
AHTB	邪教
AHTE	牙
AHTF	匪徒
AHTG	監督管理
AHTJ	監利
AHTM	䪵
AHTO	鴉片戰爭
AHTP	迓
AHTQ	蘆筍
AHTV	監委
AHTX	萬紫千紅
AHTY	雅加达
AHUE	堅毅
AHUF	緊閉
AHUG	臥病在床
AHUH	臨門
AHUT	邪道
AHUU	豎立
AHVF	工具書
AHWD	藈
AHWG	臥倒
AHWI	緊俏商品
AHWW	某些人
AHWY	邪念
AHXB	茈
AHXC	堅強領導
AHXD	緊張局勢
AHXI	䔝
AHXP	緊縮
AHXR	豎線
AHXS	䓱
AHXT	臨終
AHYA	監護人
AHYD	某些方面
AHYI	㸦
AHYK	臨高
AHYV	賢良
AHYW	鑒於
AIAA	落葉
AIAE	菠菜
AIAF	茳
AIAH	蒞臨
AIAI	茫茫然
AIAJ	落幕
AIAK	落難
AIAL	蘫
AIAM	歐洲共同體
AIAN	菃
AIAS	蕖
AIAW	葓
AIBC	匯聚
AIBH	堅決防止
AIBX	堅決取締
AICE	鑒賞能力
AICI	驚濤駭浪
AICK	菭
AIDE	堅決克服
AIDM	基準面
AIDN	落成
AIDU	黃河故道
AIEA	薄膜
AIEF	莦
AIEG	菹
AIEJ	萷
AIEW	落腳點
AIFB	落地
AIFC	薄霧
AIFD	蒲城
AIFF	落款
AIFR	蒲圻
AIFT	蔆
AIFU	匯報了
AIGA	䓑
AIGC	落到实处
AIGE	蔳
AIGF	薄
AIGO	觀光事業
AIGQ	茪
AIGY	蒲城
AIHC	菠
AIHE	堅決鬥爭
AIHI	蒲縣
AIHV	蔢
AIIA	蒲江
AIIB	蓄水池
AIIF	落潮
AIII	落水
AIIL	菏澤
AIIP	匯演
AIIR	觀潮派
AIIT	莎車
AIIU	蕩漾
AIIV	䓾
AIIW	蕩滌
AIIY	落淚
AIJC	䕕
AIJF	䓠
AIJJ	落日
AIJL	蕰
AIJN	䔽
AIJR	蕩漾
AIJS	落果
AIJY	蕅
AIKH	萍蹤
AIKS	藻类
AILB	划清界限
AILF	䕪
AILG	莎車
AILL	薀
AILP	歐洲國家
AIMR	落网
AIMU	蒙混過關
AING	薄情
AINN	落選
AIOD	藻類
AIOW	落座
AIPG	鑒賞家
AIPQ	莐
AIPW	落空
AIPX	落實到
AIPY	薄禮
AIQA	䓋
AIQD	茫然不解
AIQN	萢
AIQY	䓜
AIRD	甘當無名英雄
AIRE	蒎
AIRF	萡
AIRG	落后的
AIRH	堅決製止
AIRJ	䓅
AIRL	堅決打擊
AIRN	落戶
AIRO	堅決反對
AIRR	堅決抵製
AIRY	堅決擁護
AISF	藫
AISG	范本
AISI	薸
AISK	菏泽
AISR	薄板
AISS	落標
AIST	萍水相逢
AISU	莯
AISY	落榜
AITD	萿
AITH	薄片
AITJ	薄利多销
AITK	落实
AITL	藩
AITM	萬水千山
AITR	䒚
AITS	䓷
AITV	落筆
AITX	落第
AITY	落入
AIUA	蓱
AIUG	艾滋病
AIUH	觀測站
AIUI	薄冰
AIUQ	臨淵羨魚
AIVC	蓡
AIVG	葏
AIVK	菬
AIVS	蒅
AIWC	莈
AIWG	范例
AIWJ	蕍
AIWK	匯兌
AIWS	蒤
AIWU	蒞臨
AIWW	觀賞價值
AIWY	匯
AIXG	堅決糾正
AIXJ	匯費
AIXM	落網
AIXQ	薄紙
AIXT	匯總
AIXU	薄弱环节
AIXY	匯編
AIYE	蒗
AIYG	斯洛文尼亞
AIYK	蓅
AIYN	茫茫
AIYX	匯率穩定
AIYY	范文
AJAA	萌芽
AJAF	蓽
AJAG	墓葬
AJAH	斯里蘭卡
AJAJ	或明或暗
AJAK	萬難
AJAL	臨時觀點
AJAN	萬世
AJAR	草藥
AJBB	緊日子
AJBC	蕞
AJBJ	昔陽
AJBM	划出
AJCE	萬能
AJDB	鄚
AJDD	莫大
AJDE	募集
AJDF	墓
AJDG	萬古長青
AJDH	幕
AJDJ	暮
AJDM	幕布
AJDN	慕名
AJDO	驀
AJDQ	㱳
AJDR	摹
AJDT	萬里長征
AJDU	莫斯科
AJDY	謩
AJEF	萌发
AJFB	草地
AJFD	郾城
AJFF	蒔
AJFG	草坪
AJFJ	草
AJFL	萬載
AJFM	蘇里南
AJFQ	萬元
AJFU	萬幸
AJFY	暮靄
AJGF	萬惡之源
AJGG	萬一
AJGK	萬事大吉
AJGL	䕎
AJGO	臨時政府
AJHC	皵
AJHD	莫非
AJHF	萺
AJHH	邁步
AJHI	萬縣
AJID	萬源
AJIG	划清界限
AJJF	菖
AJJH	剒
AJJJ	蕌
AJLC	蔓延
AJLF	蒀
AJLK	草圖
AJLW	划界
AJME	勱
AJMH	躉
AJMJ	蠆
AJMM	萬山
AJMN	䖁
AJMP	邁出
AJMY	萬象
AJNT	臨時性
AJOG	草叢
AJOO	萬榮
AJOU	草料
AJOW	幕府
AJPD	逪
AJPE	摹寫
AJPG	划定
AJPN	萬寧
AJPV	草案
AJPW	墓穴
AJQC	暮色
AJQK	慕名
AJQN	葛
AJQR	䓪
AJRE	臨時抱佛腳
AJRG	幕后操纵
AJRH	斮
AJRK	募捐
AJRN	暮气
AJRU	茰
AJRX	草擬
AJSE	草棚
AJSS	草木皆兵
AJST	鵲橋
AJSU	菒
AJSV	草根
AJTE	划船
AJTF	葃
AJTG	虄
AJTH	蔓延
AJTM	邁向
AJTQ	萬物
AJTW	草簽
AJTX	幕後操縱
AJTY	划入
AJUG	邁開
AJVB	郾城
AJVD	匽
AJVF	草書
AJVK	莫如
AJVO	鶠
AJVW	㰽
AJWA	萬代
AJWG	萬全之策
AJWO	鵲橋
AJWU	臨時代辦
AJWV	划分
AJWW	萬人
AJWX	萌發
AJWY	募集
AJXD	萬頃
AJXF	萬貫家財
AJXR	䒶
AJXX	菎
AJYN	草房
AJYX	草率
AJYY	萬方
AKAA	勸戒
AKAD	勤苦
AKAH	勒緊
AKAK	艱難
AKAN	艱巨的
AKBB	鞭子
AKBC	歡聚一堂
AKBE	勸阻
AKBF	葺
AKBG	難聽
AKBT	勸降
AKBU	革職
AKBW	革除
AKBY	蕺
AKCB	䓃
AKCE	鑒別能力
AKCN	勤務員
AKDC	難友
AKDE	區長
AKDG	觀感
AKDI	區別不同情況
AKDW	勤奮
AKEJ	莂
AKEK	歡蹦亂跳
AKEP	難受
AKER	勤學苦練
AKEU	歡騰
AKEV	勤懇
AKFA	鞚
AKFB	鞟
AKFC	靶
AKFD	鞅
AKFE	勒
AKFF	鞋
AKFG	韁
AKFH	鞴
AKFI	菋
AKFJ	革
AKFK	囏
AKFL	鞰
AKFM	鞼
AKFN	戁
AKFO	鞦
AKFP	韆
AKFQ	鞔
AKFR	鞭
AKFS	鞣
AKFT	鞂
AKFU	鞡
AKFV	鞍
AKFW	歎
AKFX	靴
AKFY	難
AKGB	鄞县
AKGC	䰥
AKGD	或
AKGE	勤奋
AKGF	堇
AKGH	勤政
AKGI	㳼
AKGK	難事
AKGN	惑
AKGQ	覲
AKGR	斳
AKGT	㝻
AKGW	歏
AKHA	難處
AKHH	勸止
AKHI	區縣
AKHJ	䕽
AKHK	蕗
AKHM	匱
AKHU	莡
AKIG	觀光事業
AKIM	觀測
AKIN	苦口婆心
AKIP	觀賞
AKIT	甌海
AKIY	歐洲國家
AKJE	歐盟
AKJG	或是
AKJH	歡暢
AKJW	緊跟時代
AKKB	鄿
AKKC	毆
AKKE	勸說
AKKF	莒县
AKKJ	剾
AKKK	區
AKKL	匰
AKKM	顴
AKKN	萼
AKKO	鷗
AKKQ	觀
AKKR	蘄春
AKKT	歡呼
AKKW	歡
AKKY	甌
AKLA	舊中國
AKLF	觀點
AKLM	難買
AKLQ	區別輕重緩急
AKLW	觀眾
AKMM	鞍山
AKMN	難過
AKMU	蒷
AKNA	難民
AKNC	難怪
AKNF	勸慰
AKNI	區屬
AKNN	勤快
AKNY	難以
AKOA	難度
AKOH	甚囂塵上
AKON	歡慶
AKOO	勤勞致富
AKOQ	鞭炮声
AKOS	觀摩會
AKOT	區別對待
AKPG	其中之一
AKPJ	歡宴
AKPW	觀察
AKPY	觀禮
AKQB	歡迎儀式
AKQE	難解
AKQI	難逃
AKQK	勤勉
AKQM	鞍鋼憲法
AKRA	難找
AKRF	鞭撻
AKRH	觀看
AKRQ	歡欣鼓舞
AKRS	毆打
AKRW	鑒別手段
AKRX	歡樂
AKSP	切中要害
AKSW	燕麥
AKTC	鞭笞
AKTF	勸告
AKTG	鞭策
AKTJ	難得的
AKTK	勸和
AKTM	鞠躬尽瘁
AKTP	匱乏
AKTT	歡笑
AKTV	區委
AKTX	觀後
AKUB	酀
AKUD	難辦
AKUF	艱辛
AKUG	歐美同學會
AKUJ	區間
AKUO	燕
AKUS	革新能手
AKUT	難道
AKUV	嬊
AKUX	燕北
AKVA	難尋
AKVE	勸退
AKVF	區劃
AKVY	難忍
AKWG	革命
AKWK	難保
AKWN	荶
AKWV	區分
AKWW	勤儉
AKWY	蓶
AKXX	韁繩
AKYD	難產
AKYG	難評
AKYI	鑒別方法
AKYK	燕京
AKYN	難忘
AKYT	或許
AKYW	難於
AKYY	難言之隱
ALAG	蔮
ALAK	世界觀
ALAS	苦思苦想
ALAT	基因工程
ALAW	蓮花
ALBB	匣子
ALBI	蘻
ALCX	藣
ALDE	堅固耐用
ALDF	䓢
ALDH	世界盃賽
ALDJ	蘮
ALDK	世界大戰
ALDL	世界大國
ALDN	蒽
ALDP	世界盃賽
ALDU	茵
ALDY	共圖大計
ALEC	菌肥
ALER	莮
ALFF	䕉
ALFJ	蓒
ALFK	䕸
ALFU	夢境
ALFY	薗
ALGE	葨
ALGF	世界形勢
ALGK	苗頭
ALGN	萬眾一心
ALGW	世界政治多极化
ALHG	世界上
ALHI	世界眼光
ALHQ	夢見
ALIG	世界水平
ALII	世界潮流
ALIO	臨界溫度
ALJF	世界時
ALKF	茴
ALKK	花園口
ALKP	英國路透社
ALLF	蘲
ALLG	苗圃
ALLI	虆
ALLL	藟
ALLS	蘽
ALMU	蕒
ALND	欺軟怕硬
ALNF	世界局勢
