AAA	工
ALC	藣
ALD	茵
ALE	莮
ALF	苗
ALG	葨
ALH	世界上
ALI	世界水平
ALJ	莗
ALK	匣
ALL	藟
ALM	蕒
ALN	葸
ALP	夢
ALQ	鹋
ALR	蔪
ALS	世界杯
ALT	菌
ALU	蔨
ALV	藪
ALW	苬
ALX	蘿
ALY	藅
AMA	蕽
AMB	工農聯盟
AMC	英勇
AMD	英
AME	蓇
AMF	苖
AMG	茼
AMH	匝
AMJ	荝
AMK	苘
AML	英國
AMM	蘡
AMN	萵
AMO	工農業總產值
AMP	共同富裕
AMQ	英名
AMR	共同推出
AMS	英模
AMT	共同利益
AMU	貢
AMV	共同努力
AMW	芮
AMX	共同維護
AMY	英文
ANA	苠
ANB	芑
ANC	難以預料
AND	巨
ANF	蔚
ANG	巨型
ANH	蔬
ANI	基層黨組織
ANJ	螶
ANK	蘗
ANL	世界
ANM	貰
ANN	蕊
ANO	巨鹿
ANP	迣
ANQ	蔚然
ANR	歡快的
ANS	枼
ANT	苾
ANU	芯
ANV	世
ANW	蓼
ANX	苨
ANY	忒
AOA	蔗
AOC	勤勞勇敢
AOD	蓭
AOE	蕿
AOF	工業城市
AOG	薱
AOI	工業污染
AOJ	蔊
AOK	工業品
AOL	工業界
AON	薦
AOO	菼
AOP	蒾
AOQ	菧
AOR	䕇
AOS	蘑
AOT	工業生產
AOU	炗
AOV	菮
AOW	蓙
AOX	工業總產值
AOY	工業產值
APA	藆
APB	茡
APC	莫之能御
APD	菪
APE	萓
APF	莞
APG	萱
APH	菅
API	蒙混
APJ	蓂
APK	觀察員
APL	葷
APM	蒙山
APN	蔤
APO	萬家燈火
APP	觀察家
APQ	菀
APR	堅實的
APS	苧
APT	蒙自
APU	芝
APV	荌
APW	蓉
APX	緊密結合
APY	鑒定證書
AQA	蠶
AQB	苑
AQC	芶
AQD	薝
AQE	萏
AQF	菳
AQG	葡
AQH	敬獻
AQI	敬酒
AQJ	荀
AQK	敬
AQL	敬畏
AQM	萯
AQN	苞
AQO	菊
AQP	帶
AQQ	茤
AQR	萄
AQS	匹配
AQT	蕕
AQU	芕
AQV	匹
AQW	芡
AQX	基金組織
AQY	芍
ARA	若無其事
ARB	葼
ARC	葩
ARD	菝
ARE	蘤
ARF	苩
ARG	茊
ARH	㔸
ARI	茱
ARJ	芹
ARK	匠
ARL	蕪
ARM	菗
ARN	芞
ARO	藥廠
ARP	菦
ARQ	蒐
ARR	藠
ARS	蔱
ART	萆
ARU	艾
ARV	萔
ARW	苵
ARX	藥
ARY	薂
ASA	藲
ASB	帶來了
ASC	基本矛盾
ASD	基本原理
ASE	基本力量
ASF	茜
ASG	苯
ASH	葙
ASI	基本法
ASJ	艼
ASK	苛
ASL	基本思想
ASM	基本內容
ASN	基本情況
ASO	基本精神
ASP	萙
ASQ	基本金
ASR	菥
ASS	菻
AST	基本特征
ASU	㭉
ASV	葽
ASW	萊
ASX	草木皆兵
ASY	蒁
ATA	醫藥
ATB	莠
ATC	醫務
ATD	醫
ATE	蒩
ATF	芊
ATG	董
ATH	蓰
ATI	葕
ATJ	莉
ATK	茖
ATL	蓖
ATM	薇
ATN	藝術性
ATO	蕃
ATP	攻守
ATQ	藜
ATR	莪
ATS	蓬松
ATT	蕧
ATU	䒘
ATV	萎
ATW	蓯
ATX	蘩
ATY	攻
AUA	荓
AUB	蒴
AUC	革新能手
AUD	菤
AUE	蘢
AUF	苙
AUG	蘭
AUH	莘縣
AUI	薪水
AUJ	薏
AUK	菩
AUM	蔽
AUN	蕄
AUP	莫逆之交
AUQ	茨
AUR	藱
AUS	薪
AUT	蒺
AUV	蒹
AUW	藺
AUX	苝
AUY	蘭州
AVA	蕁
AVB	艽
AVC	莭
AVD	菇
AVE	茛
AVF	蕭
AVG	茟
AVH	藎
AVI	菉
AVJ	切題
AVK	茹
AVL	菑
AVM	蕭山
AVN	切忌
AVO	䔥
AVP	菷
AVQ	切勿
AVR	芀
AVT	切
AVU	切開
AVV	茘
AVW	切分
AVX	切斷
AVY	芄
AWA	茷
AWB	芁
AWC	蓊
AWD	茯
AWE	共用
AWF	蔡
AWG	葵
AWH	莜
AWI	苶
AWJ	芥
AWK	葆
AWL	輂
AWM	苮
AWN	恭
AWO	花粉
AWP	革命家
AWQ	花色
AWR	拲
AWS	茶
AWT	荏
AWU	共
AWV	芬
AWW	巫
AWX	花
AWY	恐
AXA	葒
AXB	芎
AXC	苰
AXD	堅強有力
AXE	苭
AXF	荮
AXG	莼
AXH	苐
AXI	蘊涵
AXJ	茀
AXK	蔃
AXL	蘊
AXM	蒳
AXN	緊張局勢
AXP	世紀之交
AXQ	葯
AXT	薌
AXU	苺
AXW	蒶
AXX	茲
AYA	芳草
AYB	工商聯
AYC	茺
AYD	A
AYE	蘐
AYF	䓂
AYG	莫衷一是
AYH	芳齡
AYI	弋
AYJ	藹
AYK	蒿
AYL	工商界
AYM	貣
AYN	荒
AYO	荒唐
AYP	匾額
AYQ	工商銀行
AYR	芳
AYS	其主要原因是
AYT	蔟
AYU	蒂
AYV	莨
AYW	萃
AYX	蓄
AYY	荒郊
BAA	防范工作
BAB	職工隊伍
BAD	陿
BAF	職工教育
BAG	職工再就業
BAJ	隁
BAK	聝
BAN	聚苯乙烯
BAO	取其精華去其糟粕
BAP	限期完成
BAR	防范措施
BAT	孤芳自賞
BAW	孤苦伶仃
BAY	聀
BBA	孕期
BBB	子
BBC	陬
BBD	孜孜不倦
BBF	孕
BBG	孖
BBH	耶
BBI	子洲
BBM	聉
BBN	阤
BBO	聶榮
BBP	孔孟之道
BBQ	耶穌
BBR	孫子兵法
BBT	孺子牛
BBU	子弟
BBV	子女
BBW	孩子們
BBX	子彈
BBY	孕育
BCA	取巧
BCB	郰
BCE	取胜
BCF	埾
BCG	陳巴爾虎旗
BCH	聚餐
BCI	聚
BCJ	取暖
BCK	孡
BCL	盈
BCM	聚財
BCN	聚居
BCO	焣
BCQ	阭
BCR	聚攏
BCS	棸
BCT	取得
BCU	聚首
BCV	娶
BCW	陖
BCX	取締
BCY	取
BDA	隋
BDB	阨
BDC	耾
BDD	隨感
BDE	陏
BDF	呄
BDG	隇
BDH	阫
BDI	承
BDJ	陌
BDK	隨口
BDM	聏
BDN	隨心
BDP	取長補短
BDQ	承包
BDR	承接
BDS	陭
BDT	陝
BDU	隔三差五
BDV	承建
BDW	陜
BDX	承繼
BDY	出面交涉
BEA	隱
BEB	阻隔
BEC	承受能力
BED	阻礙
BEE	阻力
BEF	阻截
BEG	䎳
BEH	阻止
BEI	隱沒
BEJ	隱晦
BEK	隱患
BEL	阻擊
BEN	隱居
BEP	阻塞
BEQ	聣
BER	孟加拉
BET	阞
BEU	隱痛
BEV	隠
BEW	隱含
BEX	附加費
BEY	隱諱
BFA	隫
BFB	陳規陋習
BFC	耺
BFD	孺
BFE	陸架
BFF	隢
BFH	陡
BFI	陵水
BFJ	阱
BFK	聐
BFL	聴
BFM	陡峭
BFN	隯
BFP	陸軍
BFQ	阮
BFS	陸橋
BFT	陼
BFW	陵
BFX	陸續
BFY	出土文物
BGA	陳舊
BGB	出現了
BGC	阿爾巴尼亞
BGD	孒
BGE	聙
BGF	聽
BGG	隔天
BGH	耳
BGI	耳光
BGJ	陳
BGK	隔
BGL	聽眾
BGM	陋
BGN	隔壁
BGO	陳腐
BGP	陋室
BGQ	阢
BGR	陳年
BGS	耳机
BGT	聽從
BGU	隔音
BGV	陘
BGW	隬
BGX	隔絕
BGY	隔离
BHA	隵
BHB	芔
BHC	陂
BHD	陫
BHG	阯
BHH	陟
BHI	障眼法
BHK	屮
BHN	鼐
BHP	除此之外
BHQ	䧋
BHS	隨處可見
BHW	㞣
BIA	孤掌難鳴
BIB	函
BID	函大
BIE	陗
BIF	函索
BIG	丞
BIH	耳濡目染
BII	氶
BIJ	隙
BIM	函購
BIP	隚
BIR	函授
BIS	丞相
BIT	隲
BIU	尕
BIW	函件
BIY	阥
BJA	防暴警察
BJB	,
BJC	聰明能幹
BJD	也是不可能的
BJF	聰明才智
BJG	陽
BJH	刵
BJI	陽光
BJK	(
BJM	隅
BJN	陽性
BJP	除暴安良
BJQ	陰暗角落
BJR	陽泉
BJS	陽西
BJU	陽新
BJV	也是如此
BJW	陽信
BJX	隰
BJY	及時調整
BKA	隕落
BKB	隨叫隨到
BKC	亟
BKD	出口成章
BKE	䧎
BKF	叾
BKG	聖
BKH	聵
BKJ	出口量
BKK	出口品
BKL	出口國
BKM	隕
BKP	出口額
BKQ	出口貿易
BKT	亟待
BKW	出口創匯
BKY	出口商品
BLB	孟子
BLE	勐
BLF	孟
BLG	䧃
BLH	陣
BLI	孟津
BLK	阻擊戰
BLL	聯繫點
BLM	聚眾賭博
BLO	陣營
BLP	除四害
BLU	陣痛
BLV	聯繫群眾
BLW	聯繫人
BLX	陣線
BLY	陣亡
BMA	出世
BMB	出院
BMC	出台
BMD	出厂
BME	聘用
BMF	祟
BMG	聘
BMH	出處
BMI	出海
BMJ	出題
BMK	出口
BML	出界
BMM	孾
BMN	出局
BMO	糶
BMP	出家
BMQ	欪
BMR	出手
BMS	出格
BMT	出版
BMU	出差
BMV	出嫁
BMW	出售
BMX	出線
BMY	孭
BNB	孔子
BND	恥辱
BNF	阠
BNG	乃至
BNH	卩
BNI	孔雀
BNJ	也是
BNK	隦
BNL	也罷
BNN	孔
BNO	聚乙烯
BNQ	了解
BNR	隨心所欲
BNS	也要
BNT	也行
BNU	孞
BNV	也好
BNW	出以公心
BNX	了結
BNY	恥
BOA	職業工會
BOB	出席了
BOC	耿馬
BOD	出席大會
BOE	職業學校
BOF	耿直
BOG	䧤
BOK	除塵器
BOL	職業輔導
BON	防火牆
BOO	出席座談會
BOP	出席宴會的
BOQ	隣
BOR	職業技術教育
BOU	職業道德
BOV	䧜
BOW	出席人
BOY	耿
BPA	院落
BPB	院子
BPD	䢊
BPE	辸
BPF	院
BPG	聢
BPI	阿富汗
BPJ	陀螺
BPK	陪審員
BPN	聹
BPP	孤家寡人
BPQ	耽
BPR	院所
BPS	院校
BPT	出神入化
BPU	䏁
BPV	迆
BPW	聜
BPX	陀
BPY	院方
BQA	阺
BQB	了解了
BQD	聸
BQE	陷
BQF	聊城
BQG	了解到
BQH	陥
BQI	聎
BQK	陶器
BQN	孢
BQO	陱
BQP	除夕之夜
BQQ	陊
BQR	陶
BQS	陶醉
BQT	聊
BQU	陶瓷
BQW	承包人
BQX	承包經營
BQY	承包商
BRA	孤苦
BRC	孤
BRD	出手不凡
BRE	孤兒
BRF	孤老
BRG	隍
BRI	陎
BRK	孤單
BRM	䎺
BRN	限制性
BRP	孤寂
BRQ	隗
BRR	附近的
BRS	聚氨酯
BRT	陴
BRU	孤立
BRV	孤女
BRW	阿拉伯
BSF	陻
BSG	䧈
BSH	耵
BSI	陝西省
BSJ	刴
BSK	阿
BSL	▁
BSO	隨機應變
BSQ	陳述句
BST	阿根廷
BSU	朶
BSV	阿姨
BSW	阿爸
BTA	降
BTB	艸
BTC	防御能力
BTD	聒
BTE	隆重舉行
BTF	陲
BTG	隆
BTH	阼
BTI	降水
BTJ	隆昌
BTK	聥
BTL	聰
BTM	隩
BTN	阣
BTO	出版業
BTP	出版社
BTQ	亟待解決
BTR	取得的
BTS	降格
BTT	隆重
BTU	出乎意料
BTV	孫女
BTW	孼
BTX	孫
BTY	孜
BUA	聠
BUB	陰差陽錯
BUC	職務
BUD	障礙
BUE	隧
BUF	阧
BUG	職責
BUH	耳聞目睹
BUI	隧洞
BUJ	障
BUK	陪
BUM	陪同
BUN	陶冶情操
BUO	陪床
BUP	陪客
BUQ	防疫針
BUR	子弟兵
BUS	職權
BUT	隡
BUU	隧道
BUV	隒
BUW	隘
BUY	隊旗
BVA	限期
BVE	限
BVF	隱姓埋名
BVG	限于
BVH	孻
BVI	䎼
BVJ	隟
BVK	䧂
BVO	限度
BVP	限定
BVR	限制
BVW	限价
BVY	限於
BWA	除草
BWB	除了
BWC	聡
BWD	隂
BWE	聄
BWF	附
BWG	除
BWH	除非
BWI	除法
BWJ	陰影
BWK	聆听
BWL	聯合國
BWM	聯合體
BWN	隖
BWO	附庸
BWP	除害
BWQ	除外
BWR	附近
BWS	陰極
BWT	聚合物
BWU	出人意料
BWV	聁
BWW	附件
BWX	聯合組織
BWY	陰
BXA	聯歡
BXB	聯防
BXC	階級矛盾
BXD	聯邦
BXE	聈
BXG	墬
BXH	聯絡處
BXI	乸
BXJ	聯盟
BXK	聯絡員
BXL	聯繫
BXM	聰穎過人
BXN	階層
BXO	聯營
BXP	聯賽
BXQ	聯名
BXR	聯接
BXS	聯想
BXU	聯絡部
BXV	聯姻
BXW	聯合
BXX	陛
BXY	聯誼
BYA	及其
BYB	孩子
BYC	防務
BYD	限產壓庫
BYE	孩兒
BYF	埅
BYG	防毒
BYH	防止
BYI	及
BYJ	也就是
BYK	聤
BYN	孩
BYO	防火
BYP	防守
BYQ	孩儿
BYR	孩提
BYS	及格
BYT	防
BYU	隮
BYV	防災
BYW	阬
BYX	防線
BYY	﨤
CAA	巴勒斯坦
CAB	參觀了
CAD	駐華大使
CAG	馬鞍形
CAH	預期目標
CAJ	弁
CAL	參觀團
CAM	馬鞍山
CAN	參觀展覽
CAR	參觀指導
CAW	鴘
CAY	參觀遊覽
CBJ	牟取暴利
CBT	牟取私利
CBW	馬耳他
CBY	預防為主
CCA	參觀
CCB	又及
CCC	參
CCD	又有
CCE	參加
CCF	參考
CCG	又一
CCH	參見
CCI	參演
CCJ	又是
CCK	參戰
CCL	參數
CCN	參展
CCO	駐馬店
CCP	斚
CCR	參拜
CCS	又要
CCU	㕕
CCV	又如
CCW	桑拿
CCY	厸
CDC	能不能
CDG	巴布亞新幾內亞
CDI	驕奢淫逸
CDJ	奙
CDK	馬大哈
CDL	畚
CDM	貵
CDT	巴不得
CDW	馬不停蹄
CEA	參加革命
CEB	參加了
CED	能否
CEE	能力
CEF	䏍
CEG	勇于
CEH	通
CEI	能源
CEJ	能量
CEK	通路
CEL	通車
CEM	通山
CEN	勇敢
CEO	態度
CEP	通宵
CEQ	勇猛
CER	勇气
CES	通榆
CET	通知
CEU	通道
CEV	通婚
CEW	通信
CEX	態
CEY	通商
CFA	圣賢
CFD	頚
CFF	圣地
CFI	圣洁
CFJ	圣明
CFK	圣戰
CFN	通報情況
CFO	圣火
CFQ	能者多勞
CFR	通報批評
CFU	巴士站
CFV	參考書
CFW	圣人
CFX	圣母
CFY	圣誕
CGA	馬列著作
CGB	䯅
CGC	骉
CGD	馬到成功
CGF	骦
CGJ	驲
CGK	䯄
CGL	骃
CGO	馬爾康
CGP	骔
CGR	勇于探索
CGT	驅逐艦
CGU	骍
CGV	骎
CGW	骙
CGY	馬列主義
CHA	騎虎難下
CHC	能上能下
CHG	預處理
CHN	預見性
CHO	能見度
CHQ	覌
CIA	能源工業
CII	台港澳
CIQ	能源危机
CIR	通常的
CIU	厼
CIV	能源建設
CIW	能源供應
CJF	巴里坤
CJP	參照實行
CJT	參照物
CKA	怠工
CKB	邰
CKE	台胞
CKF	台南
CKG	瓵
CKH	台上
CKI	台港
CKJ	刣
CKK	台中
CKM	台山
CKN	怠
CKO	炱
CKP	迨
CKQ	㰧
CKS	枲
CKU	辝
CKX	巼
CKY	台商
CLC	騙買騙賣
CLH	駁回上訴
CLU	圅
CMA	通過鑒定
CMB	通過了
CME	通過學習
CMI	通過決議
CMJ	岊
CMU	貟
CMY	通過討論
CNA	預期
CNB	預防
CNC	能屈能伸
CND	預感
CNF	巴塘
CNG	巴青
CNH	務
CNI	巴掌
CNK	巴中
CNL	柔軟
CNM	務農
CNN	予以
CNO	預料
CNP	予以安排
CNQ	預兆
CNR	矛盾
CNS	巴西
CNT	巴黎
CNU	柔道
CNW	柔情似水
CNX	柔弱
CNY	厶
COA	驅
COB	驟
COC	騷
COD	騎
COE	駔
COF	驍
COG	驪
COH	驢
COI	馬
COJ	騍
COK	駛
COL	騾
COM	騁
CON	驏
COO	騼
COP	駝
COQ	駒
COR	駁
COS	驃
COT	驕
COU	驥
COV	駋
COW	驗
COY	駐
CPF	參賽者
CPR	參審製度
CPT	參軍入伍
CPY	務實效
CQA	馳名世界
CQB	允
CQF	驟然增多
CQK	馳名中外
CQS	驗鈔機
CQW	駐外使館
CQX	巴解組織
CQY	允許
CRE	矛盾加劇
CRF	巴拉圭
CRI	矛盾激化
CRS	馬拉松
CRT	勇挑重擔
CSB	台柱子
CSD	巴林右旗
CSF	通權達變
CSS	馬來西亞
CSU	能歌善舞
CSY	勇攀高峰
CTA	預算草案
CTB	牟取
CTD	矣
CTF	勇往直前
CTG	牟
CTK	驅動器
CTM	預算內
CTN	能動性
CTP	牟定
CTQ	預算外資金
CTR	通行無阻
CTT	牟利
CTV	通知書
CTX	預算編製
CTY	通行證
CUD	參差不齊
CUG	勇斗歹徒
CUY	巴音郭楞
CVF	驕嬌二氣
CWA	通信工程
CWB	駭人聽聞
CWC	巴拿馬
CWE	通貨膨脹
CWF	通信地址
CWI	桑拿浴
CWJ	通俗易懂
CWK	通信員
CWM	通信网
CWP	通信安全
CWR	通信兵
CWT	逡
CWV	鳮
CWW	預備會議
CWX	通信網
CWY	通俗讀物
CXC	又紅又專
CXW	通緝令
CYA	通州區
CYB	叉子
CYC	能文能武
CYD	參謀長
CYE	叉腰
CYF	通訊地址
CYI	巴彥淖爾盟
CYJ	蚤
CYK	通訊員
CYL	叉車
CYP	通訊社
CYQ	通訊錄
CYR	勇於探索
CYT	通訊系統
CYU	駐京部隊
CYW	勇於創新
CYX	通訊網絡
CYY	㕚
DAA	碊
DAB	左聯
DAD	碪
DAE	毻
DAF	左
DAG	矼
DAH	砑
DAI	左派
DAJ	勵
DAK	奩
DAL	礣
DAM	砸
DAN	碟
DAO	大工業
DAP	礞
DAQ	長期貿易
DAR	砹
DAS	尤其要
DAT	有期徒刑
DAU	面臨新的挑戰
DAV	砌
DAW	礤
DAX	成功經驗
DAY	䂝
DBA	克孜勒蘇柯爾克孜
DBB	不了了之
DBC	原子能
DBD	頋
DBE	大陸架
DBF	耷
DBG	矷
DBH	䂙
DBI	太陽光
DBJ	㚎
DBM	布隆迪
DBN	胡子眉毛一把抓
DBO	破除迷信
DBP	厄運
DBQ	不了解
DBR	有限的
DBS	有隙可乘
DBT	太陽系
DBW	有限公司
DBX	原子彈
DBY	砐
DCA	硁
DCB	夿
DCC	磣
DCD	镽
DCE	鬃
DCF	友協
DCG	瓺
DCH	肆虐
DCI	不能滿足
DCK	唘
DCL	鬆軟
DCM	不能同意
DCN	翃
DCO	碼
DCP	不能容忍
DCQ	镹
DCR	镻
DCS	鬍來
DCT	镺
DCU	友
DCV	肆
DCW	雄
DCX	鬆弛
DCY	犮
DDA	礪
DDB	砈
DDC	套
DDD	磊
DDE	大力
DDF	磭
DDG	砳
DDH	碶
DDI	大小
DDJ	奭
DDK	大中
DDL	大田
DDM	碩
DDN	厖
DDO	大米
DDP	大家
DDQ	大多
DDR	磢
DDS	碕
DDT	礰
DDU	㚐
DDV	大姐
DDW	硤
DDX	厐
DDY	夶
DEA	戫
DEB	有限
DEC	長矛
DED	有感
DEE	硼
DEF	有
DEG	砠
DEH	砽
DEI	長江
DEJ	有時
DEK	耐用品
DEL	不加思索
DEM	胡同
DEN	有情
DEO	有底
DEP	憂
DEQ	磶
DER	夯
DES	有机
DET	劯
DEU	長
DEV	有如
DEW	鶘
DEX	磎
DEY	有效
DFA	奔
DFC	磕
DFD	圧
DFE	辱
DFF	奎
DFG	三十一
DFH	矸
DFI	奈
DFJ	夲
DFK	厈
DFL	礌
DFM	不規則
DFN	刳
DFO	硳
DFP	成才之路
DFR	有志气
DFS	礵
DFT	奢
DFU	大聲疾呼
DFV	三十九
DFW	砆
DFX	春雨綿綿
DFY	大城市
DGA	研
DGB	砘
DGC	厔
DGD	硏
DGE	硺
DGF	在一起
DGG	三
DGH	古
DGI	石油
DGJ	硬
DGK	感
DGL	礓
DGM	磧
DGN	瓳
DGO	烕
DGP	研究
DGQ	厫
DGR	研制
DGS	砞
DGT	丆
DGU	砰
DGV	威
DGW	硬件
DGX	戌
DGY	砡
DHA	戛
DHB	存
DHC	破
DHD	慧
DHE	甭
DHF	在
DHG	歪
DHH	夒
DHI	不
DHJ	不是
DHK	否
DHL	盃
DHM	碵
DHN	不必
DHO	在座
DHP	丰富
DHQ	硯
DHR	存折
DHS	嫑
DHT	夏
DHU	不准
DHV	契
DHW	鴀
DHX	不比
DHY	在京
DIA	耩
DIB	耔
DIC	耙
DID	耨
DIE	硝
DIF	耕
DIG	硄
DIH	耜
DII	耒
DIJ	耦
DIK	長江口
DIL	耬
DIM	厰
DIN	有法必依
DIO	耱
DIP	礃
DIQ	長治久安
DIR	在黨的領導下
DIS	耓
DIT	砂
DIU	泵
DIV	耗盡
DIW	耠
DIX	耭
DIY	耪
DJA	大量工作
DJB	厚
DJD	皕
DJE	壓
DJF	百
DJG	碭
DJH	砷
DJI	在日常生活中
DJJ	夰
DJK	厭戰
DJL	碩果纍纍
DJM	石景山
DJN	奄
DJO	厘米
DJP	厚禮
DJQ	碣
DJR	大量的
DJS	壓榨
DJT	厬
DJU	厚道
DJV	百姓
DJW	百余
DJX	礘
DJY	厚望
DKA	有口難辯
DKB	不足取
DKD	大吃大喝
DKE	大中學校
DKF	右
DKG	大中型
DKH	三足鼎立
DKI	大中小
DKJ	夼
DKK	磾
DKL	有中國特色社會主義
DKM	磒
DKN	右翼
DKP	不足之處
DKR	厛
DKS	歷史機遇
DKT	右邊
DKU	不中意
DKW	三中全會
DKX	厑
DKY	成品率
DLA	不畏艱險
DLB	在國際上
DLD	百思不得其解
DLE	鬍思亂想
DLF	礋
DLG	碨
DLH	硨
DLI	大國沙文主義
DLK	厙
DLL	礧
DLM	在國內外
DLP	三連冠
DLS	硱
DLT	碅
DLV	大眾媒介
DLW	㎎
DLX	磥
DLY	大眾文學
DMA	碘
DMB	冇
DMC	而又
DMD	碳
DME	磆
DMF	碉
DMG	硐
DMH	面目
DMI	大同小异
DMJ	而
DML	布置
DMM	原則同意
DMN	硙
DMO	大幅度
DMP	面容
DMQ	面包
DMR	不同的
DMS	碋
DMT	面向
DMU	頁
DMV	不同尋常
DMW	硶
DMX	面紗
DMY	砃
DNA	碾
DNB	乭
DND	臧
DNE	尨
DNF	成都
DNG	䎁
DNH	嘏
DNI	碿
DNJ	成果
DNK	尵
DNL	成因
DNM	尳
DNN	盛情
DNP	成家
DNQ	尥
DNR	磖
DNS	成本
DNT	尰
DNU	怘
DNV	尢
DNW	尬
DNX	盛
DNY	尤
DOA	礦
DOC	砿
DOD	三座大山
DOE	磷肥
DOF	灰土
DOG	礏
DOI	礦渣
DOJ	灰暗
DOL	盔
DOM	礦山
DON	耐磨性
DOO	磱
DOQ	灰色
DOR	灰白
DOS	礳
DOT	礦物
DOU	灰
DOV	磄
DOW	百廢俱興
DOX	硝煙彌漫
DOY	不應該
DPA	研究工作
DPB	研究院
DPD	硡
DPE	百家爭鳴
DPF	碂
DPG	碹
DPI	遼寧省
DPJ	大容量
DPK	研究中心
DPL	不容置疑
DPM	確山
DPN	面容憔悴
DPO	石家庄
DPP	研究室
DPQ	碗
DPR	研究所
DPS	研究机构
DPT	碦
DPU	研究部署
DPV	百家姓
DPW	確
DPX	砣
DPY	破案率
DQA	砥
DQB	克隆
DQD	兢
DQE	勀
DQF	兙
DQG	碒
DQH	大名鼎鼎
DQI	三角洲
DQJ	剋
DQK	㚚
DQL	大多數
DQM	克山
DQN	砲
DQO	砲火
DQP	确定
DQQ	奓
DQR	克拉
DQT	兛
DQU	不久前
DQV	碀
DQW	砍
DQX	砲彈
DQY	矽
DRA	大白菜
DRB	研制出
DRC	㼋
DRD	研制成功
