aaaa	工
agqa	葬
agqe	薞
agqf	塟
agqg	薤
agqj	茢
agqr	薚
agqt	蔜
agrl	匪夷所思
agrn	戒毒所
agrt	熙来攘往
agsg	莱西
agsu	茉
agta	董事长
agtd	功到自然成
agtf	七千
agth	廾
agtm	葬身
agua	䔊
agub	药到病除
agud	荚
aguf	苹
aguy	荆门
agve	葝
agvh	萐
agvi	巧妙
agvl	葘
agvv	萋
agwf	董事会
agwg	巧合
agwn	七亿
agwr	薾
agxu	䓯
agxw	荑
agya	七五计划
agyd	某一方面
agyi	匤
agyt	莱州
ahaa	卧式
ahag	蔖
ahai	菲薄
ahaj	萛
ahan	藘
ahap	蘧
ahaw	萀
ahdd	菲
ahdg	欺上压下
ahdi	繤
ahdj	㔈
ahdn	蕜
ahds	䕁
ahdy	薉
ahfa	某些地区
ahfg	世上无难事
ahft	邪教
ahgc	菽
ahgf	䒙
ahgi	茮
ahgo	邪恶
ahhg	欺上瞒下
ahhh	蕋
ahho	煕
ahhr	荹
ahhs	蘃
ahhw	牙齿
ahhy	匷
ahia	芷江
ahjf	䓬
ahkf	苫
ahkg	雅号
ahkh	邪路
ahkm	颐
ahkn	巸
ahko	熙
ahkv	媐
ahky	㼢
ahlg	卧车
ahlo	蓾
ahnb	孯
ahnc	臤
ahnd	硻
ahne	䭆
ahng	朢
ahnh	臣
ahni	䑐
ahnj	蜸
ahnl	盬
ahnm	贒
ahnn	工具书
ahno	㷂
ahnq	覧
ahnr	掔
ahns	㯺
ahnu	竪
ahnv	婜
ahnw	䑑
ahny	譼
ahos	卧床
ahou	蔝
ahpg	卧室
ahpv	雅安
ahqg	卧铺
ahqo	薒
ahqy	萈
ahrn	邪气
ahtb	邪
ahte	牙
ahtf	匪徒
ahtg	鸦
ahtm	䪵
ahtp	迓
ahty	雅
ahwd	藈
ahww	某些人
ahxb	茈
ahxi	䔝
ahxs	䓱
ahyd	某些方面
ahyi	㸦
ahyu	邪说
ahyw	节目主持人
aiaa	䔐
aiae	菠菜
aiaf	茳
aiai	茫茫
aiaj	落幕
aial	菠萝
aian	菃
aiap	东莞
aiar	东欧
aias	蕖
aiaw	欧洲共同体
aiax	勤学苦练
aibb	范
aibf	东陵
aibj	东阳
aibp	医学院
aick	东台
aicq	落汤鸡
aidg	荣誉感
aidm	东面
aidn	落成
aidu	黄河故道
aiea	薄膜
aief	落脚
aieg	菹
aiej	萷
aiep	东边
aiet	东胜
aifb	落地
aifd	东城
aiff	鸦雀无声
aifm	东南
aifr	蒲圻
aifu	蒙混过关
aify	医治无效
aiga	节水型
aigc	落到
aige	蔳
aigf	薄
aigo	东亚
aigq	茪
aigu	东平
aigy	蒲
aihc	菠
aihk	落点
aihv	蔢
aiia	东江
aiib	蓄水池
aiic	菏泽
aiig	东光
aiih	落泪
aiii	落水
aiio	东渡
aiit	莎
aiiu	荡漾
aiiv	䓾
aijc	䕕
aije	东盟
aijf	䓠
aijj	落日
aijl	欧洲盟国
aijn	䔽
aiju	节省时间
aijy	蕅
aikf	落叶
aiks	藻
ailb	划清界限
aild	范畴
ailf	范围
aill	薀
ailp	欧洲国家
ailw	医学界
aimm	东山
aimr	落网
ainr	荡
ainu	荧光屏
aiod	藻类
aios	荧光灯
aiow	落座
aipg	东家
aipq	莐
aips	东宁
aipu	落实
aipv	东安
aipw	落空
aiqa	䓋
aiqd	茫然
aiqg	鸫
aiqn	萢
aiqy	䓜
aire	蒎
airf	萡
airg	落后
airj	䓅
aisf	藫
aisg	东西
aisi	薸
aisk	菏
aisq	东游西逛
aisr	薄板
aist	萍水相逢
aisu	莯
aisy	落榜
aitd	萿
aitf	落选
aith	薄片
aitk	落
aitl	藩
aitr	䒚
aits	䓷
aitt	落笔
aity	落入
aiua	蓱
aiug	艾滋病
aiuh	东站
aiui	薄冰
aiuk	东部
aiuq	荣誉奖
aiux	东北
aiuy	东门
aivc	蓡
aivg	葏
aivk	菬
aivs	蒅
aiwc	莈
aiwg	范例
aiwj	蕍
aiwm	东侧
aiwr	东风
aiws	蒤
aiwy	虃
aixc	东经
aixf	东线
aixt	萍乡
aixu	薄弱
aixw	欧洲经济共同体
aiye	蒗
aiyg	斯洛文尼亚
aiyk	东京
aiyn	茫
aiyw	东郊
aiyy	东方
ajaa	萌芽
ajad	草莽
ajag	墓葬
ajah	蓝牙
ajaj	或明或暗
ajau	节日期间
ajax	草药
ajbc	蕞
ajbm	划出
ajdb	鄚
ajdd	莫大
ajde	募
ajdf	墓
ajdg	蓦
ajdh	幕
ajdj	暮
ajdn	慕
ajdq	㱳
ajdr	摹
ajdu	莫
ajdy	謩
ajef	萌
ajfb	草地
ajfc	萌动
ajff	荲
ajfg	草坪
ajfj	草
ajfm	苏里南
ajfn	草场
ajfu	莳
ajgd	蓝天
ajgl	䕎
ajhc	草皮
ajhd	莫非
ajhf	萺
ajhk	攻坚战
ajig	划清
ajjf	菖
ajjh	剒
ajjj	昔日
ajjv	划归
ajlc	蔓
ajlf	蒀
ajll	蓝田
ajlp	东盟国家
ajlt	蓝图
ajlw	划界
ajmj	䘍
ajmn	䖁
ajnn	草书
ajnt	萌发
ajou	草料
ajpd	逪
ajpg	划定
ajpv	草案
ajpw	墓穴
ajqc	蓝色
ajqg	鹊
ajqk	慕名
ajqn	葛
ajqr	䓪
ajrg	幕后
ajrh	斮
ajrk	募捐
ajrn	划拨
ajru	茰
ajsg	蓝本
ajss	草木
ajsu	菒
ajsv	草根
ajte	划船
ajtf	葃
ajtg	萌生
ajth	蔓延
ajtl	蓝
ajtw	草签
ajty	划入
ajuh	斯里兰卡
ajvb	郾
ajvd	匽
ajvk	莫如
ajvo	鶠
ajvw	㰽
ajwa	划时代
ajwv	划分
ajww	草丛
ajwy	募集
ajxr	䒶
ajxx	菎
ajyn	草房
ajyt	划为
ajyx	草率
akap	勤劳
akbf	葺
akbw	革除
akby	蕺
akcb	䓃
akct	区别对待
akcw	共患难
akdl	勤奋
akdu	区别不同情况
akeg	鄞县
akej	莂
akfa	鞚
akfb	鞯
akfc	靶
akfd	鞅
akfe	勒
akff	鞋
akfg	靼
akfh	鞴
akfi	菋
akfj	革
akfk	囏
akfl	鞰
akfm	鞼
akfn	靶场
akfo	鞠
akfp	鞑
akfq	鞔
akfr	鞭
akfs	鞣
akft	或者
akfu	鞡
akfv	鞍
akfw	臡
akfx	靴
akfy	鞫
akgb	鄞
akgc	䰥
akgd	或
akge	勤
akgf	堇
akgh	勤政
akgi	㳼
akgn	惑
akgq	觐
akgr	斳
akgt	燕麦
akgw	歏
akhj	䕽
akhk	蕗
akhm	匮
akhu	莡
akih	甚嚣尘上
akin	苦口婆心
akip	勤学
akjc	勒紧
akjg	或是
akjs	落叶归根
akkb	鄿
akkc	敺
akkf	莒
akkg	鹳
akkj	剾
akkk	虈
akkl	匰
akkm	颧
akkn	萼
akkt	䕾
akky	雚
aklq	区别轻重缓急
akmm	鞍山
akmu	蒷
akmw	莴
aknn	勤快
akoq	鞭炮
akpg	其中之一
akqk	勤勉
akqm	鞍钢
akrd	鞭挞
aksp	切中要害
akte	勤务
aktg	鞭策
aktm	鞠躬
aktp	匮乏
akub	酀
akuj	㬫
akuo	燕
akus	革新
akuv	嬊
akwg	革命
akwn	荶
akww	勤俭
akwy	勒令
akyk	燕京
akyt	或许
alag	蔮
alal	世界范围
alas	苦思苦想
alat	基因工程
alaw	莲花
albb	匣子
albi	蘻
albx	世界卫生组织
alcm	世界观
alcx	藣
aldf	䓢
aldh	世界大战
aldj	蘮
aldk	世界历史
aldl	世界大国
aldn	蒽
aldp	世界大赛
aldu	茵
aldy	蔑
alec	菌肥
aler	莮
alff	䕉
alfj	薯
alfk	䕸
alfo	劳累过度
alfy	薗
alge	葨
algr	世界形势
algw	世界政治多极化
alhg	世界上
alhi	世界眼光
alig	世界水平
alii	世界潮流
aljf	世界时
aljr	世界日报
alkf	茴
alkk	花园口
alkp	英国路透社
allf	蘲
allg	苗圃
alli	虆
alll	藟
alls	蘽
almu	蕒
almw	范围内
alnd	欺软怕硬
alni	世界屋脊
alnm	范围以内
alnq	范围以外
alnr	世界局势
alnt	世界性
alnu	葸
alpa	薎
alpb	鄸
alpc	蘉
alph	瞢
alpj	世界之最
alpm	顭
alpp	世界冠军
alps	苦思冥想
alpu	莲
alpx	薨
alpy	甍
alqg	鹋
alqj	薥
alqp	世界锦标赛
alqt	世界银行
alqu	萝
alqw	世界多极化
alqx	世界贸易组织
alrc	世界舞台
alrj	蔪
alrq	世界的
alsd	世界杯
alsp	世界杯赛
alss	苗木
altf	世界各地
altg	世界先进水平
altk	菌种
altl	世界各国
alts	苗条
altu	菌
alub	蔨
alud	苗头
alup	世界关贸总协定
aluq	世界闻名
alus	英国首相
alvv	匦
alwk	世界人口
alwl	蒕
alwn	世界人民
alwo	鶓
alwu	苬
alww	世界领先地位
alxi	世界经济
alxv	世界纪录
alxw	世界经济全球化
alyf	世界市场
alyg	世界语
alyj	藅
alyt	苗族
alyw	世界文化
amae	蕽
amaf	䒼
amaq	共同基金
amaw	黄花
ambh	黄陂
amce	英勇
amcg	黄骅
amdb	䣐
amdc	英雄
amdg	黄石
amdn	㲟
amdo	鶧
amdp	共同研究
amdq	䚆
amdu	英
amdx	黄龙
amdy	共同愿望
amef	蓇
amer	䕧
amff	苒
amfg	英寸
amfh	共同进步
amfj	共同声明
amfk	䓟
amfm	贡献
amfp	遘
amfq	觏
amft	英才
amgf	东山再起
amgk	茼
amgp	共同致富
amgq	英烈
amgs	共同理想
amgu	䔇
amgw	共同责任
amhj	芇
amhk	匝
amhs	共同目标
amhv	节骨眼
amhy	㒼
amig	黄浦
amim	黄油
amis	黄河
amit	黄海
amje	英明
amjf	英里
amjj	荝
amjm	荒山野岭
amkf	苘
amkk	贡品
amlg	英国
amlp	黄连
ammd	花岗岩
ammm	黄山
ammr	黄冈
ammv	蘡
amnb	䒻
amnj	共同发明
amnn	共同发展
amnp	薖
amnt	共同性
amnu	慐
amny	英尺
ampd	共同完成
ampp	共同富裕
ampt	共同之处
ampy	共同社
amqa	黄昏
amqb	苋
amqc	黄色
amqk	英名
amqq	黄金
amqy	英镑
amrb	共同推出
amrc	黄瓜
amrr	䒽
amry	共同提高
amsa	英模
amso	英杰
amst	黄梅
amta	共同繁荣
amtd	功败垂成
amtf	英德
amtg	黄牛
amth	黄牌
amtl	共同签署
amtu	共同利益
amtw	共同条令
amug	黄羊
amun	共同关心
amuq	英姿
amur	共同关心的
amve	共同努力
amvo	英灵
amwb	䵍
amwc	英俊
amwe	䵋
amwf	共同促进
amwg	莔
amwj	䵎
amwk	黇
amwl	䵐
amwn	黅
amwo	鷬
amwq	黆
amws	共同体
amwu	黄
amww	䵌
amwx	英华
amxr	共同维护
amxw	共同纲领
amyf	共同市场
amyg	英语
amyk	英豪
amyu	黄帝
amyy	英文
anab	苠
anae	蔬菜
anaf	巨著
anaq	艺苑
anar	巨匠
anaw	基层工作
anbh	䢹
anbm	䓛
anby	苦心孤诣
andd	巨大
andg	恐惧感
andm	世面
andx	世袭
anff	蔚
anfj	䒖
anfn	藯
anfu	基层干部
anga	巨型
angf	䒒
angk	世事
angs	基层政权
angw	恐怖事件
anhc	葭
anhf	匨
anhg	世上
anhi	䔫
anhk	蔬
anhp	蕸
anhs	攻心战术
anht	荍
anic	戈壁滩
anif	恐怖活动
anix	基层党组织
anjg	蒸发量
anjj	螶
ankf	薜
anki	甘居中游
ankt	巨响
anlw	世界
anme	勚
anmh	巨幅
anmu	贳
annb	乬
annd	甘心情愿
anng	恐惧心理
annn	蕊
anns	蘂
annt	警惕性
annw	㔵
anpg	世家
anpt	巨额
anpv	迣
anpy	基层社
anqd	蔚然
anqh	匠心独具
anqw	㰥
anqy	世贸
ansp	䢡
ansu	枼
ansy	艺术
antf	恐怖行动
anth	芯片
antn	荱
antr	苾
anty	劳改释放
anud	荬
anuj	世间
anuq	巨资
anuw	基层单位
anuy	著书立说
anvy	基层建设
anwa	世代
anwb	恐怖分子
anwe	蓼
anwg	巨债
anwm	劳民伤财
anwu	芵
anww	巨人
anwy	藋
anxa	苦心经营
anxb	苨
anxn	世纪
anxx	基层组织
anye	蘹
anyf	䕜
anyi	忒
anyo	巨变
anyu	荩
anyw	苡
anyy	恐怖主义
aoad	工业基础
aoaf	工业基地
aoao	蔗
aoar	工业区
aoaw	工业革命
aodf	卧床不起
aodm	薠
aodn	工业布局
aodo	工业原材料
aodr	萎靡不振
aods	营业厅
aoec	蕿
aofn	鞭炮声
aofy	工业城市
aogc	䕺
aogf	薱
aohx	工业战线
aoii	工业污染
aojf	蔊
aoju	营业时间
aokk	工业品
aokm	营业员
aolf	工业园
aolg	工业国
aolp	工业国家
aolw	工业界
aonf	薼
aonn	工业局
aono	藨
aonx	蔍
aooh	䑞
aooi	工业废水
aooo	藀
aoop	敬业精神
aoot	惹火烧身
aoou	菼
aopg	营业室
aopt	营业额
aopu	蒾
aoqy	菧
aorc	䕇
aorj	营业执照
aorn	营业所
aosd	蘑
aosi	䕷
aosr	藦
aoss	蔴
aost	荒唐可笑
aotl	䕰
aotu	工业生产
aouk	工业产品
aouo	薕
aouu	工业部门
aouw	工业总产值
aovf	蒌
aovk	蓎
aovt	薮
aovw	菮
aowc	䕠
aowf	蓙
aowk	营业人员
aowo	工业企业
aowx	工业化
aoxi	工业经济
aoxl	藕断丝连
aoyi	䕲
aoyu	工业效益
apaa	劳工
apad	劳苦
apap	切实落实
apaq	荣获
apar	营区
apau	蒙蔽
apbe	蒙阴
apbf	茡
apbj	荥阳
apcg	蒙骗
apct	莫之能御
apdf	菪
apdg	蒙古
apdi	藔
apdq	其实不然
apef	䒿
apeg	萓
apen	劳力
apeo	藛
apep	蒙受
aper	劳
apex	切实加强
apfb	营地
apfc	蔻
apfd	蒙城
apfe	蒙
apff	茔
apfg	鹲
apfi	萗
apfn	氋
apfo	鸏
apfq	莞
apft	劳教
apfu	荣幸
apfv	䓻
apgb	劳顿
apgc	落实到
apgf	苎
apgg	萱
apgh	萣
apgi	营救
apgl	䔰
apgm	薲
apgn	藼
apgt	落实政策
apgw	工农一体化
apgy	莹
aphn	菅
apig	荣誉
apiu	荥
apjj	荣昌
apju	萤
apjw	蓂
apkk	营
aplj	荤
aplx	劳累
apmj	攻守同盟
apmm	蒙山
apmw	巨额赔偿
apnf	茕
apnh	䔭
apnj	藌
apnm	蔤
apnn	警察局
apns	薴
apnt	切实履行
apnu	荧屏
apog	营业
apok	工农业产品
apou	荧
apow	工农业总产值
apox	工农业生产第一线
appr	切实安排
apqb	菀
apqf	蓥
apqg	莺
apqi	营销
apqu	切实解决
apqy	蒬
aprg	工农兵
aprm	䓨
aprv	切实抓好
apsa	劳模
apsg	蒏
apsj	其它相关问题
apso	黄鹤楼
apst	切实可行
apsu	荣
apta	营长
apte	劳务
aptf	营造
aptg	荦
aptj	营利
apuf	营养
apuk	工农差别
apun	䕣
apuq	劳资
apuu	荣立
apvf	荌
apvg	营建
apvw	工农群众
apvy	䒯
apwb	切实保障
apwe	
apwg	切实做到
apwi	䕓
apwj	蓿
apwk	蓉
apwt	劳作
apwu	茓
apwv	切实做好
apwx	荣华
apwy	葖
apxi	萦
apyg	䔃
apyl	䕐
apyn	营房
aqaa	警戒
aqab	芪
aqah	荈
aqai	或多或少
aqaj	朁
aqam	䫬
aqaq	葡萄
aqav	莫名其妙
aqaw	菊花
aqay	茋
aqbb	苑
aqbc	获取
aqbg	警卫
aqbj	茒
aqbn	葾
aqbt	蒭
aqcu	芶
aqde	葱郁
aqdg	慕名而来
aqdo	䔳
aqdq	茫然不解
aqdw	蔚然成风
aqdy	薝
aqef	萏
aqeg	蓟县
aqeh	警用
aqej	葪
aqen	警力
aqep	敬爱
aqet	获胜
aqev	戒急用忍
aqfd	荡然无存
aqfm	敬献
aqft	敬老
aqgb	茚
aqgg	藓
aqgi	获救
aqgj	蓟
aqgy	葡
aqhi	㔰
aqip	警觉
aqis	敬酒
aqjf	荀
aqju	黄金时间
aqjw	黄金时代
aqka	㢣
aqke	葂
aqkf	苟
aqkj	蟼
aqkm	警员
aqkn	世贸中心
aqkq	莬
aqkr	擎
aqks	檠
aqkt	敬
aqky	警
aqlf	䓒
aqlg	警车
aqmg	苟同
aqmm	花名册
aqmt	藑
aqmu	萯
aqna	警民
aqnb	苞
aqnf	黄色书刊
aqnj	警惕
aqnu	㤅
aqog	敬业
aqou	菊
aqph	警官
aqpi	鞍钢宪法
aqpn	慸
aqpp	遰
aqpw	警察
aqpy	敬礼
aqqk	警钟
