AA	式
PO	冞
PP	之
PQ	冤
PR	冟
PS	宋
PT	客
PU	襬
PV	安
PW	空
PX	實
PY	社
QA	錢
QB	迎
QC	色
QD	然
QE	解
QF	鐵
QG	印
QH	外
QI	銷
QJ	錫
QK	名
QL	甸
QM	負
QN	包
QO	炙
QP	錠
QQ	多
QR	錦
QS	釘
QT	犯
QU	鐘
QV	銀
QW	欠
QX	錄
QY	久
RA	找
RB	攝
RC	把
RD	振
RE	攪
RF	撓
RG	后
RH	年
RI	泉
RJ	提
RK	損
RL	無
RM	製
RN	所
RO	擴
RP	近
RQ	換
RR	折
RS	打
RT	手
RU	拉
RV	掃
RW	失
RX	指
RY	擁
SA	模
SB	李
SC	桶
SD	頂
SE	棚
SF	村
SG	本
SH	相
SI	檔
SJ	查
SK	可
SL	楞
SM	賈
SN	紮
SO	樸
SP	枕
SQ	柳
SR	析
SS	林
ST	格
SU	樣
SV	根
SW	來
SX	楷
SY	述
TA	穫
TB	秀
TC	么
TD	知
TE	稱
TF	等
TG	生
TH	邊
TI	秒
TJ	得
TK	各
TL	箇
TM	身
TN	衛
TO	釋
TP	管
TQ	物
TR	稀
TS	術
TT	衝
TU	科
TV	很
TW	答
TX	第
TY	入
UA	瓶
UB	聞
UC	痛
UD	辦
UE	前
UF	養
UG	開
UH	站
UI	冰
UJ	間
UK	問
UL	閘
UM	彆
UN	悶
UO	普
UP	凕
UQ	次
UR	痺
US	新
UT	道
UU	立
UV	兼
UW	閤
UX	北
UY	凜
VA	媒
VB	好
VC	即
VD	姑
VE	退
VF	書
VG	建
VH	盡
VI	妙
VJ	旭
VK	如
VL	姻
VM	姍
VN	刀
VO	災
VP	嫁
VQ	婚
VR	婢
VS	嫖
VT	九
VU	嫌
VV	女
VW	鳩
VX	姆
VY	孃
WA	代
WB	他
WC	公
WD	做
WE	俘
WF	僥
WG	全
WH	條
WI	償
WJ	介
WK	保
WL	佃
WM	仙
WN	假
WO	伙
WP	傢
WQ	低
WR	爺
WS	何
WT	八
WU	位
WV	分
WW	卻
WX	化
WY	信
XA	紅
XB	級
XC	強
XD	張
XE	組
XF	結
XG	純
XH	引
XI	紗
XJ	費
XK	彈
XL	細
XM	納
XN	紀
XO	纏
XP	縮
XQ	約
XR	線
XS	縹
XT	總
XU	弱
XV	絕
XW	給
XX	比
XY	統
YA	護
YB	詘
YC	充
YD	產
YE	衣
YF	計
YG	請
YH	誹
YI	誚
YJ	課
YK	就
YL	謂
YM	市
YN	記
YO	談
YP	誼
YQ	詢
YR	訴
YS	訂
YT	放
YU	議
YV	良
YW	六
YX	率
YY	方
